id,name,image,description,effect,dlc
10,Smithing Stone [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_7_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. Found in a polar region, it is semi-vitrified. Strengthens armaments up to +21. Thought to have been used to hone the weapons of the champions of the War against the Giants at the birth of the Erdtree. ",Reinforce armaments up to +21,0
11,Smithing Stone [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_stone_8_upgrade_material_elden_ring_wiki_guide_200px.png,"Stone used to smith a variety of armaments. Found in a polar region, it is semi-vitrified. Strengthens armaments up to +24. Thought to have been used to hone the weapons of the champions of the War against the Giants at the birth of the Erdtree. ",Reinforce armaments up to +24,0
12,Ancient Dragon Smithing Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_dragon_smithing_stone_upgrade_material_elden_ring_wiki_guide_200px.png,"Smithing stone made polishing a golden Gravel Stone. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula.  Strengthens armaments to +25.  The Ancient Dragonlord's seat is said to lie beyond time. This stone lightly twists time, allowing the creation of a weapon capable of slaying a god. ",Reinforce armaments to +25,0
13,Somber Smithing Stone [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_1_upgrade_material_elden_ring_wiki_guide_200px.png,Shard of smithing stone drained of color. Strengthens special armaments to +1. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment. ,Reinforce special armaments to +1,0
14,Somber Smithing Stone [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_2_upgrade_material_elden_ring_wiki_guide_200px.png,Large shard of smithing stone drained of color. Strengthens special armaments to +2. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment. ,Reinforce special armaments to +2,0
15,Somber Smithing Stone [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_3_upgrade_material_elden_ring_wiki_guide_200px.png,Hard smithing stone drained of color. Strengthens special armaments to +3. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps  and amount strengthened differ from standard equipment. ,Reinforce special armaments to +3,0
16,Somber Smithing Stone [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_4_upgrade_material_elden_ring_wiki_guide_200px.png,Large hard smithing stone drained of color. Strengthens special armaments to +4. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps  and amount strengthened differ from standard equipment. ,Reinforce special armaments to +4,0
17,Somber Smithing Stone [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_5_upgrade_material_elden_ring_wiki_guide_200px.png,Gold smithing stone drained of color. Strengthens special armaments to +5. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps  and amount strengthened differ from standard equipment. ,Reinforce special armaments to +5,0
18,Somber Smithing Stone [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_6_upgrade_material_elden_ring_wiki_guide_200px.png,Large gold smithing stone drained of color. Strengthens special armaments to +6. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps  and amount strengthened differ from standard equipment. ,Reinforce special armaments to +6,0
19,Somber Smithing Stone [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_7_upgrade_material_elden_ring_wiki_guide_200px.png,Polar smithing stone drained of color. Strengthens special armaments to +7. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment. ,Reinforce special armaments to +7,0
20,Somber Smithing Stone [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_8_upgrade_material_elden_ring_wiki_guide_200px.png,Large polar smithing stone drained of color. Strengthens special armaments to +8. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps  and amount strengthened differ from standard equipment. ,Reinforce special armaments to +8,0
21,Somber Smithing Stone [9],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_smithing_stone_9_upgrade_material_elden_ring_wiki_guide_200px.png,Ancient smithing stone drained of color Strengthens special armaments to +9. Special armaments with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment. invisible ,Reinforce special armaments to +9,0
22,Somber Ancient Dragon Smithing Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/somber_ancient_dragon_smithing_stone_upgrade_material_elden_ring_wiki_guide_200px.png,"Ancient dragonrock smithing stone drained of color. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula. Strengthens special armaments to +10.  The Ancient Dragonlord's seat is said to lie beyond time. This stone lightly twists time, allowing the creation of a weapon capable of slaying a god.  ",Reinforce special armaments to +10,0
23,Grave Glovewort [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/grave-glovewort-1-upgrade-material-elden-ring-wiki-guide.png,White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +1. The art of strengthening ashes is known as spirit tuning. Only a spirit tuner may perform this deed. ,Strengthen ashes to +1,0
24,Grave Glovewort [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_2_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +2. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +2,0
25,Grave Glovewort [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_3_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +3. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +3,0
26,Grave Glovewort [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_4_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +4. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +4,0
27,Grave Glovewort [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_5_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +5. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +5,0
28,Grave Glovewort [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_6_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +6. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +6,0
29,Grave Glovewort [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_7_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +7. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +7,0
30,Grave Glovewort [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_8_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +8. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. second ",Strengthen ashes to +8,0
31,Grave Glovewort [9],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_9_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.Each a soundless bell used to summon spirits. Strengthens ashes to +9. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched. ",Strengthen ashes to +9,0
32,Great Grave Glovewort,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_grave_glovewort_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.An especially large specimen. Strengthens ashes to +10. Since times of old, large gloveworts were used to comfort heroic spirits. Given in tribute to those who died the most glorious of deaths, in the hope their stories would become legend. ",Strengthen ashes to +10,0
33,Ghost Glovewort [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_1_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +1. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +1,0
34,Ghost Glovewort [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_2_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +2. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +2,0
35,Ghost Glovewort [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_3_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +3. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +3,0
36,Ghost Glovewort [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_4_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +4. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +4,0
37,Ghost Glovewort [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_5_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +5. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +5,0
38,Ghost Glovewort [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_6_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs.A spirit nestles close to it. Strengthens renowned ashes to +6. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +6,0
39,Ghost Glovewort [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_7_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +7. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +7,0
40,Ghost Glovewort [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_8_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +8. Ashes which keep their renown even after death cannot be strengthened by merely corporeal glovewort. ,Strengthen renowned ashes to +8,0
41,Ghost Glovewort [9],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost_glovewort_9_upgrade_material_elden_ring_wiki_guide_200px.png,White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +9.  Ashes which keep their renown even after death cannot be strengthened by merely coporeal glovewort ,Strengthen renowned ashes to +9,0
42,Great Ghost Glovewort,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_ghost_glovewort_upgrade_material_elden_ring_wiki_guide_200px.png,"White flower that blooms in catacombs.A spirit nestles close to this grand specimen. Strengthens renowned ashes to +10. Since times of old, large gloveworts were used to comfort heroic spirits. Given in tribute to those who died the most glorious of deaths, in the hope their stories would become legend. ",Strengthen renowned ashes to +10,0
