id,name,image,effect,FP cost,description,dlc
24,Fingerprint Nostrum,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fingerprint_nostrum_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Boosts mind, intelligence, faith, and arcane at cost of gradual HP loss",0,"Bolus engraved with whorl-like lines. Craftable item. Boosts mind, intelligence, faith, and arcane at the cost of gradual HP loss. A secret medicine of those who attempt to turn their human bodies into fingers. Ingesting causes something to wriggle within.",1
25,Spellproof Pickled Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spellproof_pickled_liver_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to magic damage negation,0,"Animal liver pickled in a blue medicinal solution. Craftable item. Temporarily grants large boost to magic damage negation, greatly improving damage mitigation against attacks imbued with magic. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
26,Fireproof Pickled Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fireproof_pickled_liver_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to fire damage negation,0,"Animal liver pickled in a red medicinal solution. Craftable item. Temporarily grants large boost to fire damage negation, greatly improving damage mitigation against attacks imbued with fire. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
27,Lightningproof Pickled Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningproof_pickled_liver_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to lightning damage negation,0,"Animal liver pickled in a yellow medicinal solution. Craftable item. Temporarily grants large boost to lightning damage negation, greatly improving damage mitigation against attacks imbued with lightning. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
28,Holyproof Pickled Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/holyproof_pickled_liver_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to holy damage negation,0,"Animal liver pickled in a gold medicinal solution. Craftable item. Temporarily grants large boost to holy damage negation, greatly improving damage mitigation against attacks imbued with holiness. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
29,Opaline Pickled Liver,http://eldenring.wiki.fextralife.com/file/Elden-Ring/opaline_pickled_liver_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to non-physical damage negation,0,"Animal liver pickled in an opaline medicinal solution. Craftable item. Temporarily grants large boost to non-physical damage negation, greatly improving mitigation of damage imbued with non-physical attributes. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
30,Well-Pickled Turtle Neck,http://eldenring.wiki.fextralife.com/file/Elden-Ring/well-pickled_turtle_neck_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily grants large boost to stamina recovery speed,0,"Turtle neck meat that has been thoroughly pickled in a bitter solution. Temporarily grants large boost to stamina recovery speed. The effects of the forager brood's pickled delights are enhanced by the fermentation, or rotting, of the ingredients. Though this results in a pungent odor, some come to find the aroma irresistible.",1
31,Scorpion Stew,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorpion_stew_consumaable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts physical damage negation temporarily and gradually restores HP,0,"Scorpion simmered in a black soup. Traditional meal of the hornsent. Boosts physical damage negation temporarily and gradually restores HP. Once made with love by a certain elderly woman for the family table. Having long gone cold, this soup gives off a rank, sour smell.",1
32,Gourmet Scorpion Stew,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gourmet_scorpion_stew_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts physical damage negation temporarily and gradually restores a great amount of HP,0,"Scorpion simmered in a black soup. An exquisite dish chock-full of mouth-watering scorpion claws. Boosts physical damage negation temporarily and gradually restores a great amount of HP. The thoughts and feelings of the cook melt and blend into the stew, but those who can distinguish the taste of love are few and far between. ""Partake, partake, until thou art sated.""",1
33,Scorpion Stew (2),http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorpion_stew_consumaable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts physical damage negation temporarily and gradually restores HP,0,"Scorpion simmered in a black soup. Traditional meal of the hornsent. Boosts physical damage negation temporarily and gradually restores HP. Having long gone cold, this soup gives off a rank, sour smell.",1
34,Gourmet Scorpion Stew (2),http://eldenring.wiki.fextralife.com/file/Elden-Ring/gourmet_scorpion_stew_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts physical damage negation temporarily and gradually restores a great amount of HP,0,"Scorpion simmered in a black soup. An exquisite dish chock-full of mouth-watering scorpion claws. Boosts physical damage negation temporarily and gradually restores a great amount of HP. The thoughts and feelings of the cook melt and blend into the stew, but those who can distinguish the taste of love are few and far between.",1
35,Sacred Bloody Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacred_bloody_flesh_consumaable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts physical attack power and arcane once. Attack power boosted further when blood loss occurs.,0,"Raw meat soaked with blood. A delicacy of the bloodfiends. Temporarily boosts physical attack power and arcane. When blood loss occurs nearby, further boosts attack power. The blood is said to have fallen from the Formless Mother's wound. Never will it dry, never will it rot.",1
36,Silver Horn Tender,http://eldenring.wiki.fextralife.com/file/Elden-Ring/silver_horn_tender_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Temporarily boosts item discovery,0,Old currency used by hornsent made by coating spiral horns with silver. Temporarily boosts item discovery. Can also be sold for a high price. These trinkets were once symbolic of society's upper echelons.,1
37,Golden Horn Tender,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_horn_tender_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Boosts rune acquisition for a time,0,Old currency used by hornsent made by coating spiral horns with gold. Boosts the amount of runes obtained from defeating enemies for a certain duration. Can also be sold for a high price. Once bestowed upon inquisitors as an honor.,1
38,Messmerfire Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmerfire_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, inflicting heavy fire damage",0,"Solidified knotgrease made from a mixture of incendiary materials. Craftable item. Coats armament, adding heavy fire damage to attacks. The effect lasts only for a short time. Fire was a symbol of the crusade, and even Messmer's rank-and-file soldiers would wield it.",1
39,Dragonbolt Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonbolt_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, inflicting heavy lightning damage",0,"Solidified knotgrease made from a mixture of fulminating materials. Craftable item. Coats armament, adding heavy lightning damage to attacks. The effect lasts only for a short time. Said to have been a favored tool of the dragon-cult knights who once served the prince of gold.",1
40,Royal Magic Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_magic_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, inflicting heavy magic damage",0,"Solidified knotgrease made from a mixture of magically resonant materials. Craftable item. Coats armament, adding heavy magic damage to attacks. The effect lasts only for a short time. Believed to have once been bestowed upon low-ranking Carian knights in lieu of the fellowship's characteristic swords.",1
41,Golden Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, inflicting heavy holy damage",0,"Solidified knotgrease made from a mixture of holy resonant materials. Craftable item. Coats armament, adding heavy holy damage to attacks. The effect lasts only for a short time. Enchanted with an ancient Erdtree incantation. Such ministrations are all but a lost art in the realm of shadow.",1
42,Eternal Sleep Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eternal_sleep_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, inflicting eternal sleep",0,"Solidified knotgrease made from a mixture of deep-purple materials. Craftable item. Coats armament, inflicting eternal sleep. The effect lasts only for a short time. The weak are powerless to resist this velvety sleep, and will never be roused again.",1
43,Dragon Communion Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon_communion_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, granting potent anti-dragon effect",0,"Solidified knotgrease made from a sharp gravel-stone mixture. Craftable item. Coats armament, granting a potent anti-dragon effect. The effect lasts only for a short time. A tool of the old Dragon Communion warriors, who were the agents of the ancient dragons' hatred for their lowborn descendants.",1
44,Drawstring Messmerfire Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawstring_messmerfire_grease_drawstring_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Quickly coats armament, inflicting heavy fire damage",0,"Solidified knotgrease made from a mixture of incendiary materials. Craftable item. A short string is attached to this lump. Quickly coats armament, adding heavy fire damage to attacks, but with a brief effect, owing to its small size. Fire was a symbol of the crusade, and even Messmer's rank-and-file soldiers would wield it.",1
45,Drawstring Dragonbolt Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawstring_dragonbolt_grease_drawstring_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Quickly coats armament, inflicting heavy lightning damage",0,"Solidified knotgrease made from a mixture of fulminating materials. Craftable item. A short string is attached to this lump. Quickly coats armament, adding heavy lightning damage to attacks, but with a brief effect, owing to its small size. Said to have been a favored tool of the dragon-cult knights who once served the prince of gold.",1
46,Drawstring Royal Magic Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawstring_royal_magic_grease_drawstring_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Quickly coats armament, inflicting heavy magic damage",0,"Solidified knotgrease made from a mixture of magically resonant materials. Craftable item. A short string is attached to this lump. Quickly coats armament, adding heavy magic damage to attacks, but with a brief effect, owing to its small size. Believed to have once been bestowed upon low-ranking Carian knights in lieu of the fellowship's characteristic swords.",1
47,Drawstring Golden Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawstring_golden_grease_drawstring_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Quickly coats armament, inflicting heavy holy damage",0,"Solidified knotgrease made from a mixture of holy resonant materials. Craftable item. A short string is attached to this lump. Quickly coats armament, adding heavy holy damage to attacks, but with a brief effect, owing to its small size. Enchanted with an ancient Erdtree incantation. Such ministrations are all but a lost art in the realm of shadow.",1
48,Drawstring Eternal Sleep Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawstring_eternal_sleep_grease_drawstring_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Quickly coats armament, inflicting eternal sleep",0,"Solidified knotgrease made from a mixture of deep-purple materials. Craftable item. A short string is attached to this lump. Quickly coats armament, inflicting eternal sleep, but with a brief effect, owing to its small size. The weak are powerless to resist this velvety sleep, and will never be roused again.",1
49,Festive Grease,http://eldenring.wiki.fextralife.com/file/Elden-Ring/festive_grease_grease_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Coats armament, granting wielder trace amount of runes on landing attacks",0,"Solidified knotgrease made from a mixture of bone shards. Craftable item. Coats armament, imparting a festive incantation that grants the wielder a scant few runes on landing attacks. The effect lasts only for a short time. The delightful festival is an old tradition; one old enough for the Erdtree to tacitly tolerate its endurance.",1
50,Innard Meat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/innard_meat_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw at enemies to inflict damage,0,"Scraps of flesh for filling great jars. Rancorous spirits cling to the pinkish-red, ******ing meat. Throw at enemies to inflict damage. This is what becomes of the condemned, who get sliced up and stuffed into jars to become saints instead.",1
51,Dragon Communion Harpoon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon_communion_harpoon_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Throw to inflict damage with anti-dragon effect,0,"Harpoon bristling with sharp gravel stones. Craftable item. Throw at enemies to inflict heavy damage. Has an anti-dragon effect. A tool of the old Dragon Communion warriors, who were the agents of the ancient dragons' hatred for their lowborn descendants.",1
52,Polter Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/polter_stone_consumable_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Makes a noise imitative of human presence,0,Contrivance of the grave keepers made from spiritgrave stone. Craftable item. Creates noises imitative of human presence where it lands when thrown. Said to have been used by the solitary grave keepers to distract themselves from their longing for company.,1
53,Rock Heart,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rock_heart_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Turns human frame into ancient dragon and boosts Dragon Communion incantations by 20% for 60 seconds.,0,"Heart consumed in the ancient, original form of Dragon Communion. Use while disrobed to turn one's human flesh into an ancient dragon. The change cannot be undone except by death. Using this heart while already transformed temporarily boosts Dragon Communion incantations. The last thing the partaker saw with human eyes was a sunset, its colors faded and tarnisheda remote thing from eternity.",1
54,Priestess Heart,http://eldenring.wiki.fextralife.com/file/Elden-Ring/priestess_heart_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Turns human frame into ancient dragon and boosts Dragon Cult incantations,0,"The stone heart of a Dragon Communion priestess. Use while disrobed to turn one's human flesh into an ancient dragon. The change cannot be undone except by death. Using this heart while already transformed temporarily boosts incantations of the capital's ancient dragon cult. The priestess was once an ancient dragon herself, but sacrificed that form for feeble flesh to aid in the destruction of Bayle the Dread.",1
55,Lamenter's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lamenters_mask_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Transforms wearer into a lamenter and causes head to swell in size,0,"A stone mask twisted into an expression of rapturous grief. Use while disrobed to transform into a lamenter. The change cannot be undone except by death. Using this mask while already transformed causes the head to swell in size. This transformation tallies with the state of a denizen of paradise, but the people of the tower denied and hid it from the world. In their foolishness, they viewed true bliss with deep fear.",1
56,Ancient Dragon's Blessing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_dragons_blessing_1_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Uses FP to increase all damage negation,-15,"Favor bestowed by the Dragon Communion priestess in the name of the dragon lord Placidusax. Consume FP to increase all forms of damage negation (including physical). This also increases damage negation while guarding as an additional effect. Each night, the priestess offers her own sleep to her lord, and in turn receives the power of His favor.",1
57,Iris of Grace,http://eldenring.wiki.fextralife.com/file/Elden-Ring/iris_of_grace_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Place on the eye of another to grant the light of grace as a fleeing blessing,0,"An iris blessed with an incantation of the Erdtree. Place on the eye of another to grant them the light of grace as a fleeing blessing. Can also be used to receive the blessing of an equipped Great Rune. In the realm of shadow, this artifice was employed by the priests of the Erdtree to quell the fears of their flock to magnificent effect.",1
58,Iris of Occultation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/iris_of_occultation_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Place on the eye of another to deny light in all its forms,0,"An iris that is as dark as night. Place on the eye of another to deny them light in all its forms. Can also be used to receive the blessing of an equipped Great Rune, at the cost of all runes currently held. In the realm of shadow, this artifice was employed by the priests of the Erdtree to intensify the fears of their flock to magnificent effect.",1
59,Thiollier's Concoction,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_concoction_elden_ring_sote_wiki_guide200px.png,Causes immediate death if imbibed by an ordinary human,0,"An ebony-black concoction mixed by Thiollier. A condensed, somniferous elixir, purported to be capable of putting even an ancient dragon to sleep. For an ordinary mortal, a single sip would assuredly result in swift and certain death. Thiollier thought of St. Trina's sleep when he created this, but the ebony sleep he concocted had not the sweetness of nectar nor the gentleness of rest's embrace.",1
60,Flask of Crimson Tears,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flask_of_crimson_tears_elden_ring_wiki_guide_200px.png,Restores HP,0,"A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with crimson tears, this flask restores HP with use. Rest at a site of grace to replenish. The one washed up on the gravesite was sure to die, until this flaskoffered its gift of rejuvenation. To seek the Elden Ring. Flask Add charge to flask",0
61,Flask of Cerulean Tears,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flask_of_cerulean_tears_elden_ring_wiki_guide_200px.png,Restores FP,0,"A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with cerulean tears, this flask restores FP with use. Rest at a site of grace to replenish. The one washed up on the gravesite was sure to die, until this flask offered its gift of rejuvenation. To seek the Elden Ring.",0
62,Sleep Pot,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleep_pot_elden_ring_wiki_guide_200px.png,Uses FP. Throw to cause buildup of Sleep,9,"Craftable item prepared using a cracked pot. Enchanted by the incantations of St. Trina. Consumes FP. Throw enemies to cause buildup of sleep. Like a lullaby, or a quagmire, its light-purple haze irresistibly draws its victims down into sleep. Sweet dreams.",0
63,Dappled White Cured Meat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dappled_white_cured_meat_elden_ring_wiki_guide_200px.png,"Temporarily boosts immunity, robustness, and focus",0,"A white sliced meat, dried out after pickling in a dappled medicinal solution.Craftable item. Temporarily boosts immunity, robustness, and focus. Lasts longer than traditional cured meat, but with reduced effectiveness.",0
