id,name,image,description,type,usage,location,dlc
10,Glinting Nail,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glinting_nail_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Nailstone with shining fingerprints floating above. Craftable item. Uses FP to fling a magic nail that crumbles during flight. The lampreys that guard the finger ruins resemble fingers far more than they do humans, and so the finger-weavers imitated their sorcery. ",Offensive,Uses FP to fire a shattering magic nail,"Cathedral of Manus Metyr: Leave the main room from the opening on the side. Ride Torrent and circle the building, you will find a Marionette Soldier guarding this item. [Elden Ring Shadow of the Erdtree Interactive Map]",1
11,Sunwarmth Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sunwarmth_stone_tools_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Spiritgrave stone blessed with an Erdtree incantation. Craftable item. Uses FP to generate sunwarmth, continuously restoring the HP of those nearby. Has a more potent effect than a Warming Stone. Sunlight feels all the warmer in darkened lands. ",Deffensive,Uses FP to continuously heal nearby allies,Location goes here...,1
12,Charming Branch,http://eldenring.wiki.fextralife.com/file/Elden-Ring/charming_branch_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Branch blessed with an incantation of unalloyed gold. Craftable item. Uses FP to stab an enemy, charming it and the surrounding enemies. Charmed enemies act as your allies for a short while. Those who would otherwise be at each other's throats are united in service to Miquella—as long as the charm that binds them remains intact. ",Offensive,Uses FP to charm stabbed enemy and surrounding enemies,Location goes here...,1
13,Memory of Grace,http://eldenring.wiki.fextralife.com/file/Elden-Ring/memory_of_grace_elden_ring_wiki_guide_200px.png,"The memory of first grace, which once guided bygone Tarnished to the Lands Between. Lose all runes and return to last site of grace visited. It is merely a cycle. Stand before the Elden Ring. Become the Elden Lord. ",General Use,"Lose all runes, return to last site of lost grace visited.",All Classes start the game with this item,0
14,Spectral Steed Whistle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spectral_steed_whistle_elden_ring_wiki_guide_200px.png,"A delicate goldwork ring. Can be used as a finger whistle. Sound the whistle to summon and ride Torrent, the spectral steed.  (Dismounts steed when used while on horseback.) Upon his death, the spectral steed can be summoned again, but doing so drains the Flask of Crimson Tears. ",General Use,Summon and ride spectral steed.,Received from Melina after meeting her at an overworld Site of Grace beyond the tutorial area.,0
15,Wraith Calling Bell,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wraith_calling_bell_elden_ring_wiki_guide_200px.png,"Bell used by worshippers of revenants. Ring bell, using FP to summon prowling wraiths. This can be done multiple times in a row. Wraiths are said to be the vengeful spirits of those who died when cursed. similar ",Offensive,Uses FP to ring bell and calls prowling wraiths.,Laskyar Ruins Found in an underground room. The steps leading down can be found in the northwest section. [Map Link],0
16,Ancestral Infant's Head,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancestral_infants_head_elden_ring_wiki_guide_200px.png,Skull of a very young ancestral spirit. Just think how many sproutings It might bear. Uses to spray spirit vapor inflicting magic damage. The vapor becomes a temporary geyser which deals continuous damage to everything it touches until it disappears ,Offensive,Uses FP to spray spirit vapor.,"Nokron, Eternal City Found in a chest guarded by an Ancestral Follower in a submerged ruin. [Map Link]",0
17,Omen Bairn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_bairn_elden_ring_wiki_guide_200px.png,"Doll of a curseborn bairn. Uses FP to unleash wraiths that chase down foes. Omen babies have all their horns excised, causing most to perish. These fetishes are made to memorialize them. ""Please, don't hate me, or curse me. Please."" ",Offensive,Uses FP to unleash wraiths that chase down foes.,"Subterranean Shunning-Grounds Dropped by an Omen. Assuming the area's shortcuts have been unlocked, he is located through the first two doors past the site of grace, and down the ladder.",0
18,Regal Omen Bairn,http://eldenring.wiki.fextralife.com/file/Elden-Ring/regal_omen_bairn_elden_ring_wiki_guide_200px.png,"Doll of a curseborn bairn from the Erdtree's royal line.  Uses FP to unleash many wraiths that chase down foes. Omen babies born of royalty do not have their horns excised, but instead are kept underground, unbeknownst to anyone, imprisoned for eternity.  These memorial fetishes are fashioned in secret. ",Offensive,Uses FP to unleash many wraiths that chase down foes.,Roundtable Hold Can be obtained when unlocking the Remembrance of the Omen King power by handing it over to Enia.,0
19,Mimic's Veil,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mimics_veil_elden_ring_wiki_guide_200px.png,"Golden veil of intricate design. Uses FP to mimic nearby objects. When Godrick was hounded from Leyndell, the Royal Capital, this was one of a multitude of treasures he took with him. Also known as ""Marika's Mischief"". ",General Use,Uses FP to mimic nearby objects.,Stormveil Castle[Map Link],0
20,Margit's Shackle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/margits_shackle_elden_ring_wiki_guide_200px.png,"A fetish bathed in golden magic. Shackles were used to bind the accursed people called the Omen, and these ones were made to keep a particular Omen under strictest confinement. Though faint, the shackles still retain vestiges of power — enough to trap the once-bound Margit on earth, if only for a short time. ",Boss Fight,Briefly binds Margit and Morgott. Can be used twice per fight during the first phase.,Murkwater Cave Can be purchased from Patches for  5000 Runes after he he readies his wares for you.[Map Link],0
21,Mohg's Shackle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mohgs_shackle_elden_ring_wiki_guide_200px.png,"A fetish bathed in golden magic. Shackles were used to bind the accursed people called the Omen,  and these ones were made to keep a particular Omen under  strictest confinement. Though faint, the shackles still retain vestiges of power — enough  to trap the once-bound Mohg on earth, if only for a short time. ",Boss Fight,"Briefly binds Mohg, once imprisoned, to earth. Can be used twice per fight during the first phase.",Subterranean Shunning-Grounds Found at the bottom of the room filled with Fanged Imps and two Giant Crayfish.,0
22,Lantern,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lantern_elden_ring_wiki_guide_200px.png,"A small waist-worn lantern that illuminates surroundings.  Use once to turn on, and again to turn off. While its light is dimmer than that of a torch, it has the advantage of freeing up the user's hands.  ",General Use,Attach to waist to illuminate surroundings.,"Liurnia of the Lakes Can be purchased from the Nomadic Merchant for  1800 Runes. [Map Link]
Weeping Peninsula Can be purchased from the Isolated Merchant for  1800 Runes.[]",0
23,Telescope,http://eldenring.wiki.fextralife.com/file/Elden-Ring/telescope_elden_ring_wiki_guide_200px.png,"Astrology tool used by members of the Carian royal family.  A stolen part of a larger instrument. Allows the viewer to better see faraway things. During the age of the Erdtree, Carian astrology withered on the vine.  The fate once writ in the night skies had been fettered by the Golden Order. ",General Use,Allows viewer to see faraway things.,Church of Elleh Can be purchased from Merchant Kalé for  500 Runes.[Map Link],0
24,Blasphemous Claw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blasphemous_claw_elden_ring_wiki_guide_200px.png,"A slab of rock engraved with traces of the Rune of Death.  Can deflect the power of the Black Blade.  On the night of the dire plot, Ranni rewarded Praetor Rykard with these traces. Should the coming trespass one day transpire, they would serve as a last-resort foil, allowing Rykard to challenge Maliketh the Black Blade, the black beast of Destined Death. ",Boss Fight,Deflects the power of the Black Blade.,Crumbling Farum Azula Dropped by Recusant Bernahl.[Map Link],0
25,"Prattling Pate ""Hello""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_hello_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head. Emits a voice that says ""Hello."" A wistful fetish that imparts voices and words on an eternal journey. Hello ",Prattling Pate,"Emits a voice that says ""Hello""",Stormfoot Catacombs Found on a corpse behind the first pillar that exudes fire.,0
26,"Prattling Pate ""Thank you""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_thank_you_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head. Emits a voice that says ""Thank you."" A wistful fetish that imparts voices and words on an eternal journey. ",Prattling Pate,"Emits a voice that says ""Thank you""",Tombsward Catacombs,0
27,"Prattling Pate ""Please Help""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_please_help_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head.Emits a voice that says ""Please help."" A wistful fetish that imparts voices and words on an eternal journey. ""Please help"" ",Prattling Pate,"Emits a voice that says ""Please help""",Impaler's Catacombs,0
28,"Prattling Pate""Apologies""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_apologies_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head.Emits a voice that says ""Apologies."" A wistful fetish that imparts voices and words on an eternal journey. Apologies ",Prattling Pate,"Emits a voice that says ""Apologies""",Unsightly Catacombs,0
29,"Prattling Pate ""You're Beautiful""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_you're_beautiful_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a demi-human head.Emits a voice that says ""You're beautiful."" A wistful fetish that imparts voices and words on an eternal journey. Unconditional love. Unrestrained assurance. It must have been a mother speaking. You're beautiful ",Prattling Pate,"Emits a voice that says ""You're Beautiful""",Hermit Village,0
30,"Prattling Pate""Wonderful""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_wonderful_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head.Emits a voice that says ""Wonderful."" A wistful fetish that imparts voices and words on an eternal journey. ""Wonderful"" ",Prattling Pate,"Emits a voice that says ""Wonderful""",Cliffbottom Catacombs,0
31,"Prattling Pate ""Let's get to it""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_let's_get_to_it_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head.Emits a voice that says ""Let's get to it."" A wistful fetish that imparts voices and words on an eternal journey. ""Let's get to it"" ",Prattling Pate,"Emits a voice that says ""Let's get to it""",Sainted Hero's Grave,0
32,"Prattling Pate ""My Beloved""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prattling_pate_my_beloved_elden_ring_wiki_guide_200px.png,"Twisted clay sculpt in the shape of a human head.Emits a voice that says ""My Beloved."" A wistful fetish that imparts voices and words on an eternal journey. Expressions of love are among the most fickle. ",Prattling Pate,"Emits a voice that says ""My beloved""",Miquella's Haligtree,0
33,Pureblood Knight's Medal,http://eldenring.wiki.fextralife.com/file/Elden-Ring/pureblood_knights_medal_elden_ring_wiki_guide_200px.png,"Proof that one is a glorious knight of the new Dynasty of Mohgwyn that the Lord of Blood will inaugurate. Use to be granted audience with Mohg. Only, it is not yet time. For Mohg yet slumbers beside the Divinity.Be Patient. The new dynasty is nigh. ",General Use,Teleports the player to just outside the steps of Mohgwyn Palace.,Reward from White Mask Varre after soaking the Lord of Blood's Favor in maiden's blood.,0
34,Torches,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nanayas_torch_1_torches_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Weapon Range Data for Torches in Elden Ring. Credits to user Kaj. ,General Use,"Their flames can illuminate dark locales, or be used to attack enemies. Can be raised up when equipped in the left-hand, illuminating more of the surrounding area.",Church of Elleh Can be purchased from Merchant Kalé for  200 Runes.[Map Link],0
