id,name,image,description,type,usage,location,dlc
10,Storeroom Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storeroom_key_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A key with a spiral engraving. Opens the door to the storeroom on the second floor of Belurat, the tower settlement. ",Exploration,Use to open the storeroom on the second floor of Belurat,"Belurat Tower Settlement: From the top of the waterfall, you will find a room with a ladder, enter the room and climb the ladder. At the top, you will find a corpse with the Storeroom Key. [See Shadow of the Erdtree Map]",1
11,Stonesword Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stonesword_key_elden_ring_wiki_guide_200px.png,"A sword-shaped stone key. Breaks the seal on imp statues, but remains embedded in the statue after use, meaning it can only be used once as an item. Think well before using one. ",Exploration,Use to break one imp statue seal,See Stonesword Key for a full list of locations,0
12,Keep Wall Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/item_effects_icon_elden_ring_wiki_guide_55px_18px.png,Iron key with an engraved crest. Opens the wooden door beside the great gate on the shadow keep's west wall. ,Exploration,Opens the wooden door on the west wall of the keep,Location goes here...,1
13,Prayer Room Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/prayer_room_key_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Iron key with an engraved crest. Opens the door to the prayer room in the house of worship found in the church district of the shadow keep. ,Exploration,Opens prayer room door in the house of worship found in the church district,Church of the Crusade: Acquired as a drop upon defeating the NPC Invader Fire Knight Queelign. [See Shadow of the Erdtree Map],1
14,Igon's Furled Finger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_furled_finger_key_item_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Furled finger of Igon, the broken drake warrior. Gnarled and knotty, and deeply discolored on the inside. When facing Bayle the Dread, this summons Drake Warrior Igon from his sign. ""My soul yet lies on the mountain."" ",Exploration / Quest,Summons Drake Warrior Igon from his sign,Will be given by Igon by interacting with him after defeating the Jagged Peak Drake in the area. [See Shadow of the Erdtree Map],1
15,Black Syrup,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_syrup_key_item_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,An ebony-black syrup held in an unglazed jar. Moore asked that this be delivered to Thiollier. An unknown liquid apparently gathered and aged by the forager brood. ,Exploration / Quest,Something Moore asked to be delivered to Thiollier,"Talk to Moore outside Belurat, Tower Settlement to receive the Black Syrup item.  [See Shadow of the Erdtree Map]",1
16,Messmer's Kindling,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_kindling_key_item_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The kindling that burned inside Messmer the Impaler. A dark thing, eaten away at by a wicked serpent. Burns the sealing tree said to be found at the old Rauh ruins. Messmer, much like his younger sister, bore a vision of fire. ",Exploration / Quest,Burns the sealing tree,Dropped by Messmer the Impaler. [See Shadow of the Erdtree Map],1
17,Hole-Laden Necklace,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hole-laden_necklace_exploration_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A pale-blue necklace made from a thin, elongated stone hollowed out from the inside. Use at a hallowed ruin to sound a hanging bell. It was a teaching of Count Ymir. The fate of the one who sounds the hanging bell will be guided by the stars. ",Exploration/ Quest,Use at a hallowed ruin to sound a hanging bell,Cathedral of Manus Metyr: Given by Count Ymir when first interacted. [See Shadow of the Erdtree Map],1
18,Imbued Sword Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/imbued_sword_key_elden_ring_wiki_guide_200px.png,"Stone key shaped like a sword.A special item, imbued with rich blue magic. Breaks the seal on the imp statues guarding the sending gates enshrined in each belfry, but remains embedded in the statue after use, meaning it can only be used once as an item. Think well before using one. ",Exploration,"Unseals sending gate, but disappears upon use","Castle Ensis: The Imbued Sword Key item can be found inside a treasure chest. The chest is located inside a tower's armor room. [See Shadow of the Erdtree Map]
The Four Belfries, Liurnia. Found in a chest at the topmost belfry[Map Link]
Raya Lucaria Academy, Liurnia Looted from a corpse found on the east side of the rooftops[Map Link]
Sellia, Town of Sorcery, Caelid Found in a barricaded, small building in the northeast section of town. Dispel the barrier by lighting the brazier atop the southwest tower[Map Link]",Base game & Shadow of the Erdtree DLC
19,Rusty Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rysty_key_elden_ring_wiki_guide_200px.png,Rusted iron key. Opens a locked door in Stormveil Castle ,Exploration,Opens a locked door in Stormveil Castle,"Stormveil Castle, Limgrave Found in the dark room guarded by the Banished Knight[Map Link]",0
20,Drawing-Room Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drawing-room_key_elden_ring_wiki_guide_200px.png,"Key to Volcano Manor's drawing room. The door can be found in the westward corridor, upon the left hand side. ",Exploration,Key to the Volcano Manor drawing room,"Volcano Manor, Mt Gelmir Received from Tanith after pledging your service to the Volcano Manor.[Map Link]
Alternatively, if Rykard is killed before pledging your services, Tanith will disappear from the Manor, the key will be left in her chair",0
21,Sewer-Gaol Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sewer-gaol_key_elden_ring_wiki_guide_200px.png,"Filthy key received from the Dung Eater. Unlocks sewer-gaol door said to lie beneath Leyndell, the Royal Capital. ",Exploration,Unlocks sewer-gaol door beneath Leyndell.,Roundtable Hold Received from Dung Eater after acquiring at least one Seedbed Curse,0
22,Discarded Palace Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/discarded_palace_key_elden_ring_wiki_guide_200px.png,A key discarded by Lunar Princess Ranni alongside her very flesh. Opens a treasure chest passed down to Carian Princesses. It is said to be found in the Grand Library of Raya Lucaria with her mother Rennala.  ,Exploration,Opens a treasure chest passed down to Carian Princesses.,Received from Miniature Ranni after defeating the Baleful Shadow,0
23,Academy Glintstone Key,http://eldenring.wiki.fextralife.com/file/Elden-Ring/academy_glintstone_key_elden_ring_wiki_guide_200px.png,"Key to the seals binding both gates to the Academy of Raya Lucaria. Activates warp magic bound within the seals. A glintstone key will remember its user, meaning once used it can never be passed on to another. The academy does not welcome the indolent. ",Exploration/ Quest,Key to open the academy's two sealed gates,"West of the Academy, Liurnia Found on a sorcerer's corpse behind Glintstone Dragon Smarag[Map Link]
Raya Lucaria Academy, Liurnia Looted off a corpse hanging from the Church of the Cuckoo's chandelier. To reach the ceiling, you need to maneuver the rooftop section of the Academy[Map Link]",0
24,Sellian Sealbreaker,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sellian_sealbreaker_elden_ring_wiki_guide.png,"Glintstone key received from the sorceress Sellen. Capable of breaking the seal that keeps Master Lusat confined. Sellia, Town of Sorcerery can be found in Caelid. This key was said to have been found in the possession of a Sellian sorcerer. ",Quest,Can release Master Lusat from his confinement.,"Obtained during Sorceress Sellen's questline. After finding Comet Azur on the body of Primeval Sorcerer Azur, speak with Sellen to further her quest. She will have an additional dialogue option, 'I have a favor to ask' that will give the player the Sellian Sealbreaker.",0
25,Carian Inverted Statue,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_inverted_statue_elden_ring_wiki_guide_200px.png,"Statuette of a scholar, with ground and sky inverted. Reveals the hidden form of the Carian Study Hall, which connects to the divine tower. To unveil the secret, affix it to the pedestal of the celestial globe. ",Quest,Key revealing the hidden form of Carian Study Hall.,Given by Ranni in Ranni's Rise after giving her the Fingerslayer Blade.[Map Link],0
26,Dectus Medallion (Left),http://eldenring.wiki.fextralife.com/file/Elden-Ring/dectus_medallion_left_elden_ring_wiki_guide_200px.png,"Left half of a split medallion depicting the Erdtree. Brandishing the medallion with both halves conjoined will activate the Grand Life of Dectus, connecting the Altus Plateau to Liurnia. The right half is said to reside in Fort Faroth in the Dragonbarrow, far to the east. ",Exploration,Join medallions to operate Grand Lift of Dectus.,"Fort Haight, Limgrave Found atop the tower, accessible via ladder[Map Link]",0
27,Dectus Medallion (Right),http://eldenring.wiki.fextralife.com/file/Elden-Ring/dectus_medallion_right__elden_ring_wiki_guide_200px.png,"Right half of a split medallion depicting the Erdtree. Brandishing the medallion with both halves conjoined will activate the Grand Lift of Dectus, connecting the Altus Plateau to Liurnia. The left half is said to reside in the coastal Fort Haight to the far west. ",Exploration,Join medallions to operate Grand Lift of Dectus.,"Fort Faroth, Caelid Found atop the eastern tower, accessible via ladder[Map Link]",0
28,Rold Medallion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rold_medallion_elden_ring_wiki_guide_200px.png,"Conjoined split medallion depicting the Flame Peak. Brandishing the medallion activates the Grand Lift of Rold, connecting Leyndell to the Mountaintops of the Giants. The forge of the flame of ruin is said to be found upon their peaks, and it is here Melina wishes to travel in resuming your journey together.  ",Exploration,"Activates the Grand Lift of Rold, connecting Leyndell to the Mountaintops of the Giants.","Received from Melina after defeating Morgott, The Omen King[Map Link]",0
29,Haligtree Secret Medallion (Left),http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligtree_secret_medallion_left_elden_ring_wiki_guide_200px.png,"Left half of a split medallion depicting the Haligtree. Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path. In other words, this secret medallion will guide the bearer to the land of Miquella's Haligtree. ",Exploration/ Quest,"Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path.","Castle Sol, Mountaintops of the Giants Found on the roof of the tower in the northeast, accessible after defeating Commander Niall[Map Link]",0
30,Haligtree Secret Medallion (Right),http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligtree_secret_medallion_right_elden_ring_wiki_guide_200px.png,"Right half of a split medallion depicting the Haligtree. Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path. In other words, this secret medallion will guide the bearer to the land of Miquella's Haligtree. ",Exploration/ Quest,"Brandishing the medallion with both halves conjoined will activate the Grand Lift of Rold, granting access to a hidden path.","Village of the Albinaurics, Liurnia Received from Albus after unveiling his disguise. Found at the top of the hill, past the Depraved Perfumer[Map Link]",0
31,Chrysalids' Memento,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chrysalids_memento_elden_ring_wiki_guide_200px.png,"Memento left by the chrysalids sacrificed for grafting. A brooch wrapped in red velvet. Traces of blood are visible. Faintly visible spirits try to convey something, but their voices cannot be heard. ",Quest,Broach wrapped in red velvet.,"Found in Stormveil Castle, atop a pile of corpses in a room adjacent to a Grafted Scion mini-boss[Map Link]",0
32,The Stormhawk King,http://eldenring.wiki.fextralife.com/file/Elden-Ring/the_stormhawk_king_elden_ring_wiki_guide_200px.png,"Ashes of a hawk revered by all others as sovereign back in the days when Stormveil's winds still raged like no other. This ancient monarch is proud however, refusing to answer anyone's summons.  ",Quest,Ashes of a hawk which heeds no summons.,"Chapel of Anticipation Upon returning to this location later in the game, head towards the roof of the southern wing of the chapel[Map Link]",0
33,Irina's Letter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/irinas_letter_elden_ring_wiki_guide_200px.png,"Letter given by Irina, addressed to her father, the commander of Castle Morne. Gorgeous silken handkerchief, lightly stained with blood. Words can be made out within. ",Quest,Letter addressed to the commander of Castle Morne,"Weeping Peninsula, Limgrave Received from Irina just near the Bridge of Sacrifice Site of Grace[Map Link]",0
34,Shabriri Grape,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shabriri_grape_elden_ring_wiki_guide_200px.png,"A yellowing, oozing eyeball of the infirm. The surface is shriveled, and the inside is squishy, not unlike a large, overly-ripe grape. Give to the blind maiden to guide her to the distant light. ",Quest,"Yellow, oozing eyeball of the infirm.","One can be found near a spirit NPC at Godrick's throne room at Stormveil Castle, You do not have to defeat Godrick in order to obtain it, you can enter from the back by going around the castle using the broken bridge route.[Map Link]
Can be found on the lower level of the Purified Ruins. The entrance to this area is blocked by a large plank of wood that can be destroyed with rolls or attacks.[Map Link]
One is dropped by Edgar the Revenger, an NPC invader found at the Revenger's Shack in western Liurnia[Map Link]",0
35,Fingerprint Grape,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fingerprint_grape_elden_ring_wiki_guide_200px.png,"Eyeball of the knight Vyke, inflamed yellow. Seared with a repulsive fingerprint burn akin to those that marred his entire body. If offered to the blind maiden, it will lead her to the source of the distant light, allowing her to become a Finger Maiden. ",Quest,"Eyeball of the knight Vyke, inflamed yellow",Dropped by Festering Fingerprint Vyke[Map Link],0
36,Rya's Necklace,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ryas_necklace-elden-ring-wiki-guide.png,Necklace stolen from Rya by the blackguard.  Features a relief of a dignified looking woman from a foreign country. It appears to hold great significance for Rya. ,Quest,"Rya's necklace, stolen by a blackguard.","After speaking with Rya (Map Link]), you will get a quest to receive this stolen necklace. The necklace can be found at Blackguard Big Boggart's shack just a bit to the northwest. It can be bought for  1000 or by killing Blackguard.",0
37,Serpent's Amnion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/serpent's_amnion_elden_ring_wiki_guide_200px.png,"Amnion from the mother's womb which cradled the poor unwanted offspring of a repellant birthing ritual. It will never dry out, remaining damp indefinitely. ",Quest,Amnion from a womb that bore unintended offspring.,"Volcano Manor, Mt Gelmir Found on the altar after defeating the Godskin Noble[Map Link]",0
38,Tonic of Forgetfulness,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tonic_of_forgetfulness_elden_ring_wiki_guide.png,"Tonic in a small brass vial. Banishes distress and bitter memories.  A gift bestowed by Rykard, sworn to blasphemy, to Lady Tanith, who unfortunately had no use for it. ""My Lord, there could be no greater distress than to forget you."" ",Quest,Tonic that banishes distress and bitter memories.,Received from Tanith after giving the Serpent's Amnion to Rya and returning to the Volcano Manor,0
39,Dancer's Castanets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_castanets_elden_ring_wiki_guide.png,"Castanets used by dancers from foreign lands. Received from Patches. The passionate dance comprises no seductiveness, but merely a dignified beauty. ",Quest,Castanets used by dancers from distant lands.,"Given by Patches in Shaded Castle, before the boss room, after killing Rykard, Lord of Blasphemy and talking to him in Volcano Manor",0
40,Unalloyed Gold Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unalloyed_gold_needle_elden_ring_wiki_guide_200px.png,"An intricately crafted needle of unalloyed gold. Once snapped in half, it has been repaired by Sage Gowry. A ritual implement crafted to ward away the meddling of outer gods, it is thought capable of forestalling the incurable rotting sickness. ""Now, all you need to do is deliver the needle to Millicent, convalescing in the church atop the cliff just beyond Sellia.""  An intricately crafted needle of unalloyed gold.  Removed by Millicent from her flesh. Bears no trace of befouled blood, but is faintly moist with dew. ""There is something I must return to Malenia. The dignity, the sense of self, that allowed her to resist the call of the scarlet rot."" ",Quest,"An intricately crafted needle of unalloyed gold.Removed by Millicent from her flesh. Bears no trace of befouled blood, but is faintly moist with dew.",Found upon Millicent's corpse after the end of her questline (if you sided with her),0
41,Unalloyed Gold Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unalloyed_gold_needle_elden_ring_wiki_guide_200px.png,"An intricately crafted needle of unalloyed gold. Once snapped in half, it has been repaired by Sage Gowry. A ritual implement crafted to ward away the meddling of outer gods, it is thought capable of forestalling the incurable rotting sickness. ""Now, all you need to do is deliver the needle to Millicent, convalescing in the church atop the cliff just beyond Sellia.""  An intricately crafted needle of unalloyed gold.  Removed by Millicent from her flesh. Bears no trace of befouled blood, but is faintly moist with dew. ""There is something I must return to Malenia. The dignity, the sense of self, that allowed her to resist the call of the scarlet rot."" ",Quest,Snapped intricate needle of unalloyed gold.,"Swamp of Aeonia, Caelid Dropped by Commander O’Neil[Map Link]",0
42,Unalloyed Gold Needle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unalloyed_gold_needle_elden_ring_wiki_guide_200px.png,"An intricately crafted needle of unalloyed gold. Once snapped in half, it has been repaired by Sage Gowry. A ritual implement crafted to ward away the meddling of outer gods, it is thought capable of forestalling the incurable rotting sickness. ""Now, all you need to do is deliver the needle to Millicent, convalescing in the church atop the cliff just beyond Sellia.""  An intricately crafted needle of unalloyed gold.  Removed by Millicent from her flesh. Bears no trace of befouled blood, but is faintly moist with dew. ""There is something I must return to Malenia. The dignity, the sense of self, that allowed her to resist the call of the scarlet rot."" ",Quest,"An intricately crafted needle of unalloyed gold. Once snapped in half, it has been repaired by Sage Gowry.",Repaired by Sage Gowry after delivering him the original Unalloyed Gold Needle.,0
43,Valkyrie's Prosthesis,http://eldenring.wiki.fextralife.com/file/Elden-Ring/valkyries_prosthesis_elden_ring_wiki_guide_200px.png,"Golden prosthesis once used by the one-armed valkyrie. A masterwork of craftsmanship, with practice and skill it can be used as proficiently as a real arm. When Maleigh Marais, Lord of the Shaded Castle, embraced this prosthesis, he claimed to feel the presence of his personal goddess. ",Quest,Golden prosthesis used by the one-armed Valkyrie,Found in a chest in the room guarded by a single Cleanrot Knight on the North Western edge of The Shaded Castle.[Map Link],0
44,Alexander's innards,http://eldenring.wiki.fextralife.com/file/Elden-Ring/alexanders_innards_elden_ring_wiki_guide_200px.png,"A keepsake of the warrior jar Alexander. Found at the core of the dead flesh that once filled the great jar. The jars contain dregs inherited from those who came before. Thus are warriors passed from jar to jar, carrying dreams of greatness. ",Quest,A keepsake of the warrior jar Alexander. Found at the core of the dead flesh that once filled the great jar.,"Crumbling Farum Azula After enough progress through Iron Fist Alexander's questline, he can be found past the crumbling tower where he will request a duel. Upon victory the player will receive this along with a Warrior Jar Shard and a Shard of Alexander.[Map Link]",0
45,Lord of Blood's Favor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/key-lord-of-bloods-favor-01-elden-ring-wiki-300px.png,"Before soaking: Pure white oath-cloth given by Varré. The final trial to be anointed a Knight of Mohg, Lord of Blood. ""Soak the cloth with a maiden's blood... The blood of anyone's maiden will do. You are maidenless, after all."" After soaking: Fully reddened oath-cloth, dyed in a maiden's blood. The final trial is complete. Luminary Mohg is sure to welcome you into his service, as a knight who will lay the foundations for his dynasty. ",Quest,Pure white oath-cloth given by Varré.,Reward for completing White Mask Varré's task,0
46,Lord of Blood's Favor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/key-lord-of-bloods-favor-01-elden-ring-wiki-300px.png,"Before soaking: Pure white oath-cloth given by Varré. The final trial to be anointed a Knight of Mohg, Lord of Blood. ""Soak the cloth with a maiden's blood... The blood of anyone's maiden will do. You are maidenless, after all."" After soaking: Fully reddened oath-cloth, dyed in a maiden's blood. The final trial is complete. Luminary Mohg is sure to welcome you into his service, as a knight who will lay the foundations for his dynasty. ",Quest,"Fully reddened oath-cloth, dyed in a maiden's blood.",Obtained after soaking the white cloth with a maiden's blood,0
47,Weathered Dagger,http://eldenring.wiki.fextralife.com/file/Elden-Ring/weathered_dagger_elden_ring_wiki_guide_200px.png,"Dagger received from Fia, the Deathbed Companion. She wishes for it to be returned to its rightful owner. It was once a special weapon of gold and silver intertwined, but is now worn down and marred by a black gash. ",Quest,"Dagger received from Fia, Deathbed Companion",Roundtable Hold Obtained from Fia after reaching Altus Plateau.,0
48,Black Knifeprint,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knifeprint_elden_ring_wiki_guide_200px.png,"On the Night of the Black Knives, someone stole a fragment of Death from Maliketh, the Black Blade, and imbued its power into the assassins' daggers. This mark is evidence of the ritual, and hides the truth of the conspiracy. ",Quest,Mark of the Night of the Black Knives ritual,Drops from Black Knife Assassin in Black Knife Catacombs[Map Link],0
49,Cursemark of Death,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cursemark_of_death_elden_ring_wiki_guide_200px.png,"Cursemark carved into the discarded flesh of Ranni the Witch. Also known as the half-wheel wound of the centipede. This cursemark was carved at the moment of Death of the first demigod, and should have taken the shape of a circle. However, two demigods perished at the same time, breaking the cursemark into two half-wheels. Ranni was the first of the demigods whose flesh perished, while the Prince of Death perished in soul alone. ",Quest,Cursemark carved into Lunar Princess Ranni's discarded flesh.,Found on a body lying at the top of the Divine Tower of Liurnia[Map Link],0
50,Seedbed Curse,http://eldenring.wiki.fextralife.com/file/Elden-Ring/seedbed_curse_elden_ring_wiki_guide_200px.png,"Curse grown on a corpse killed and defiled by the Dung Eater. A tender pox afflicted with omen horns.  The Dung Eater cultivates the seedbed curse on corpses. By doing so he prevents dead souls returning to the Erdtree, leaving them forever cursed. One of the most loathsome things found in the Lands Between. ",Quest,Curse grown on a body defiled by the Dung Eater.,See Seedbed Curse for a full list of locations,0
51,Sellen's Primal Glintstone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sellens_primal_glintstone_elden_ring_wiki_guide.png,"Glintstone from within the sorceress Sellen's body.Seemingly half-alive, blood vessels are visible within.In essence, a primal glintstone is a sorcerer's soul.If transplanted into a compatible new body after their original body dies, the sorcerer will rise again.""My apprentice, do you think it distasteful?"" ",Quest,Glintstone from within Sellen's body.,Found beneath Witchbane Ruins,0
52,Seluvis's Potion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/seluviss_potion_elden_ring_wiki_guide_200px.png,"Small flask received from Preceptor Seluvis containing a cloudy tonic of bluish black. ""Find Nepheli, and ensure she drinks it."" ",Quest,Small flask received from Preceptor Seluvis,Acquired from Seluvis at Seluvis's Rise after being asked by Ranni the Witch to speak with him[Map Link],0
53,Seluvis's Introduction,http://eldenring.wiki.fextralife.com/file/Elden-Ring/seluviss_introduction_elden_ring_wiki_guide_200px.png,Scroll bearing a royal coat of arms. A letter of introduction written by Preceptor Seluvis. Addressed to a glintstone sorceress by the name of Sellen. The contents of the scroll cannot be discerned. ,Quest,Letter of introduction addressed to Sellen,"Seluvis's Rise, Liurnia Given by Preceptor Seluvis",0
54,Amber Starlight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/amber_starlight_elden_ring-wiki-guide.png,"An ephemeral sliver that gives off a pale amber glow. What remains of a passing flash of starlight. If the stars command our fates, then amber-hued stars must command the fates of the gods. Such is the belief that inspired the use of these shards to prepare a most special draught. Cannot be consumed by mere humans. ",Quest,Used in the preparation of a peculiar drought.,Altus Plateau Found through a cave north-east of the Altus Highway Junction Site of Grace[Map Link],0
55,Amber Draught,http://eldenring.wiki.fextralife.com/file/Elden-Ring/amber_draught_elden_ring_wiki_guide.png,"Small flask received from Preceptor Seluvis containing a gleaming amber draught for use in a scheme. ""Give it to Ranni and ensure she drinks it. And we'll be in a position to claim the very finest puppet ever crafted."" ",Quest,"Given by Preceptor Seluvis during his questline, when choosing to betray Ranni the Witch.",Received from Preceptor Seluvis after handing over the Amber Starlight,0
