id,name,image,type,equipament,charge,FP,effect,locations,dlc
17,Savage Lion's Claw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/savage_lions_claw_gif.gif,Regular,"Usable on Swords, Axes, and Hammers. (small armaments and thrusting swords excepted)",No,20 (-/10),"Skill of the particularly brave, even among the Redmanes. Somersault forwards, striking foes with armament. An additional strike may be performed with an additional input.",Ash of War Savage Lion's Claw,1
18,Divine Beast Frost Stomp,https://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_frost_stomp.gif,Regular,Usable on all melee weapons.,Yes,15 (-/-),A skill which imitates the wrath of the divine beast's dance. Lift a leg up high and stamp it down with great force. Sends a powerful wave of frost straight out along the ground. Can be charged to increase power and range.,Ash of War Divine Beast Frost Stomp,1
19,Flame Spear,https://eldenring.wiki.fextralife.com/file/Elden-Ring/flame_spear.gif,Regular,Usable on armaments capable of thrusting (claws and backhand blades excepted).,Yes,19 (-/-),"Skill of Kood, captain of the Fire Knights. Ready weapon for a thrusting attack and unleash a spear of flame straight ahead. Charge the attack to increase damage dealt and distance travelled.",Ash of War Flame Spear,1
20,Carian Sovereignty,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_sovereignty.gif,Regular,Usable on swords (colossal weapons excepted).,Yes,30 (-/12),Skill passed down the Carian royal family. Transform blade into a magical greatsword and bring it down. Additional input follows up with a horizontal sweep. Charge either attack to enhance potency.,Ash of War Carian Sovereignty,1
21,Shriek of Sorrow,https://eldenring.wiki.fextralife.com/file/Elden-Ring/shirek_of_sorrow.gif,Regular,Usable on all melee armaments.,No,19 (-/-),"Skill utilized by the downtrodden. Scream, causing nearby enemies to flinch, while also recalling deep-seated resentment, boosting attack power based on the amount of HP remaining. The lower the HP, the greater the effect.",Ash of War Shriek of Sorrow,1
22,Shield Strike,https://eldenring.wiki.fextralife.com/file/Elden-Ring/shield_strike.gif,Regular,Usable on all Shields.,No,- (-/-),A skill that uses the shield to attack. Repeated inputs allow for up to three follow-up attacks.,Ash of War Shield Strike,1
23,Igon's Drake Hunt,https://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_drake_hunt.gif,Regular,Usable on Greatbows.,No,-1,"Skill of Igon, drake warrior. Ready the bow before unleashing a twisted shot with a great bellow that considerably enhances its power.",Ash of War Igon's Drake Hunt,1
24,Ghostflame Call,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ghostflame_call.gif,Regular,"Usable on swords and spears (small armaments, twinblades, and backhand blades excepted).",No,15 (10/10),"Thrust out armament to summon ghostflame. Follow up with a normal attack to set the ground ablaze with ghostflame, or a strong attack to trigger a massive explosion.",Ash of War Ghostflame Call,1
25,Dragonwound Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon-hunters-great-katana---dragonwound-slash.gif,Unique,Dragon Hunter's Great Katana,Yes,18 (-/-),"Designed to hunt colossal dragons, this skill cloaks the armament with a jagged gravel-stone aura before performing a high leaping slash. Charge the attack to also fire off the aura.",Default skill of Dragon Hunter's Great Katana.,1
26,Needle Piercer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/needle-piercer.gif,Unique,Leda's Sword,No,19 (-/-),Skill of Needle Knight Leda. Generates ten gold needles which pierce their target all at once. Those pierced are purged of all ailments and special effects alike.,Default skill of Leda's Sword,1
27,Light,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword-of-light---light.gif,Unique,Sword of Light,No,30 (-/-),Unleashes the light carved in the armament's blade. Send the sword aloft to let loose a blinding light whose many rays sweep through the surrounding area. Also temporarily boosts one's own holy attacks.,Default skill of Sword of Light.,1
28,Darkness,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sword-of-darkness---darkness.gif,Unique,Sword of Darkness,No,30 (-/-),Raise the sword aloft and cleave surroundings with darkness. Deals holy damage and temporarily reduces holy damage negation.,Default skill of Sword of Darkness.,1
29,Onze's Line of Stars,http://eldenring.wiki.fextralife.com/file/Elden-Ring/onze's-line-of-stars.gif,Unique,Star-Lined Sword,No,10 (-/8),"Imbues sorcerous energy into the glintstone line for enhanced slashing attacks. Repeated inputs allow for up to two follow-up attacks, each dealing greater damage than the last.",Default skill of Star-Lined Sword.,1
30,The Poison Flower Blooms Twice,https://eldenring.wiki.fextralife.com/file/Elden-Ring/the_poison_flower_blooms_twice.gif,Regular,Usable on all Melee Armaments,No,14 (-/-),Conjures stingers of scarlet rot from below to stab the enemy. Landing a follow-up attack on a foe already inflicted with poison or rot deals massive damage in one fell swoop.,Ash of War: The Poison Flower Blooms Twice,1
31,Spinning Guillotine,http://eldenring.wiki.fextralife.com/file/Elden-Ring/spinning-guillotine-heavy.gif,Unique,Putrescence Cleaver,No,12 (-/7),Hold the putrid blade at both ends and arch body backwards to deliver a powerful overhead chop. Repeated inputs deliver follow-up attacks for as long as stamina allows. Strong attack performs a leap followed by a spinning attack.,Default skill of Putrescence Cleaver.,1
32,Unending Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/unending-dance.gif,Unique,Dancing Blade of Ranah,Yes,2 (-/-),A furious dance formed by a succession of slashing attacks. Hold the button down to sustain the dance for as long as stamina allows.,Default skill of the Dancing Blade of Ranah.,1
33,Revenger's Blade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/falx---revenger's-blade.gif,Unique,Falx,Yes,15 (-/10),"Dash up to an enemy and slash them open with the blades held in each hand. By holding down the button, the initial dash will be extended. Follow up with strong attack to hack the enemy to pieces.",Default skill of Falx,1
34,Mists of Eternal Sleep,http://eldenring.wiki.fextralife.com/file/Elden-Ring/velvet-sword-of-st.-trina---mists-of-eternal-sleep.gif,Unique,Velvet Sword of St Trina,No,23 (-/-),Releases a velvety purple mist that spreads across a wide frontal area. Afflicts foes with eternal sleep.,Default skill of Velvet Sword of St Trina.,1
35,Dynastic Sickleplay,https://eldenring.wiki.fextralife.com/file/Elden-Ring/dynastic_sickleplay.gif,Unique,Obsidian Lamina,No,5 (-/8),A finessed evasive skill that creates space to maneuver. Inputs dictate direction of the backstep. Follow up with strong attack to perform an advancing upward slash. Press strong attack again to bring the weapon back down.,Default skill of Obsidian Lamina,1
36,Blinkbolt: Twinaxe,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blinkbolt_twinaxe_2.gif,Unique,Death Knight's Twin Axes,No,8 (-/10),"From a low stance, the body is transformed into a bolt of lightning and charges straight ahead at fulgurous speed. Strong attack performs a lightning-charged spinning slash.",Default skill of the Death Knight's Twin Axes.,1
37,Blinkbolt: Long-hafted Axe,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blinkbolt_long-hafted_axe2.gif,Unique,Death Knight's Longhaft Axe,No,8 (-/13),"From a low stance, the body is transformed into a bolt of lightning and charges straight ahead at fulgurous speed. Strong attack performs a lightning-charged leaping slash.",Default skill of the Death Knight's Longhaft Axe.,1
38,Promised Consort,http://eldenring.wiki.fextralife.com/file/Elden-Ring/promised-consort.gif,Unique,Greatsword of Radahn (Lord),No,20 (-/10),"Imbue the two greatswords with the light of Miquella, then deliver a slashing attack accompanied by columns of light. Additional input allows for up to two follow-up attacks.",Default skill of Greatsword of Radahn (Lord),1
39,Shadow Sunflower Headbutt,https://eldenring.wiki.fextralife.com/file/Elden-Ring/shadow_sunflower_headbutt.gif,Unique,Shadow Sunflower Blossom,No,16 (-/8),"Slam down the blossom of a large shadow sunflower, sending out a shockwave that flattens foes. Repeated inputs allow for up to two follow-up attacks.",Default skill of Shadow Sunflower Blossom.,1
40,Moon-and-Fire Stance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/moon-and-fire-stance.gif,Unique,Rellana's Twinblade,No,-0.4,"Assume ready stance, swords imbued with magic. Follow up with normal attack to cast glintstone light waves, or strong attack to perform a spinning attack that bathes the area with flame. Light waves can have up to two follow-up casts with additional inputs.",Default skill of Rellana's Twinblade.,1
41,Devonia's Vortex,https://eldenring.wiki.fextralife.com/file/Elden-Ring/devonias_vortex.gif,Unique,Devonia's Hammer,Yes,16 (-/-),"Using the power of the Crucible vortex, violently spin the hammer around and slam the ground, causing a shockwave. This skill can be charged to increase its power.",Default skill of Devonia's Hammer,1
42,Messmer's Assault,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers-assault.gif,Unique,Spear of the Impaler,No,15 (-/9),"A fierce succession of attacks using a flame-coated spear tip. Repeated inputs allow up to two follow-up attacks. The final move thrusts the spear into the ground, causing countless spears to form in the surrounding area.",Default skill of Spear of the Impaler.,1
43,Sleep Evermore,https://eldenring.wiki.fextralife.com/file/Elden-Ring/sleep_evermore_elden_ring_fextralife.gif,Unique,Thiollier's Hidden Needle,No,16 (-/-),"Pierces the enemy deeply with a poison-coated needle that delivers eternal sleep. If the follow-up strike lands upon a foe who is already in a state of slumber or eternal sleep, it will deal significant damage.",Default skill of Thiollier's Hidden Needle.,1
44,Golden Crux,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden-crux.gif,Unique,Greatsword of Damnation,No,21 (-/10),"Leap up and skewer foe from overhead. If successful, the weapon's barbs unfold to excruciate from within; else, additional input releases barbs in the area. There is something of the Golden Order in the sight of those fixed upon this crux.",Default skill of the Greatsword of Damnation,1
45,Moore's Charge,https://eldenring.wiki.fextralife.com/file/Elden-Ring/moores_charge.gif,Unique,Verdigris Greatshield,Yes,16 (-/-),"Ready the shield with both hands, then charge forth while maintaining guard, ending in a shove imbued with verdigris magic. Knocks back nearby enemies, but does not cause significant harm. Hold to extend the length of the charge.",Default skill of Verdigris Greatshield.,1
46,White Light Charge,http://eldenring.wiki.fextralife.com/file/Elden-Ring/white-light-charge.gif,Unique,Ancient Meteoric Ore Greatsword,No,10 (-/25),"Summons white light from the crevice in the weapon's ancient meteoric ore, using its power for a charging attack which pierces foes. Additional input causes the light to explode.",Default skill of the Ancient Meteoric Ore Greatsword.,1
47,Rancor Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rancor-slash.gif,Unique,Spirit Glaive and Spirit Sword,No,12 (-/12),"Spin around, slashing foes while summoning vengeful spirits which chase down foes. Additional input allows for a follow-up attack.",Default skill of both the Spirit Glaive and the Spirit Sword.,1
48,Witching Hour Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/witching-hour-slash.gif,Unique,Sword of Night,Yes,21 (-/-),Slash Hold the sword level and infuse it with the dark of Night before unleashing a series of incorporeal attacks. This attack cannot be blocked. Can be charged to increase its power.,Default skill of Sword of Night.,1
49,Euporia Vortex,https://eldenring.wiki.fextralife.com/file/Elden-Ring/euporia_vortex.gif,Unique,Euporia,No,28 (-/-),"Using the power of the vortex, violently twirl the armament, dealing multiple slashes directly ahead. The greater the restored luster of the blades, the greater the power of this skill. However, use of this skill will fully consume the blades' luster.",Default skill of Euporia.,1
50,Smithing Art Spears,https://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing_art_spears.gif,Unique,Anvil Hammer,No,18 (-/-),"Slam the red-hot anvil into the ground, sending up countless spears as it is pulled out. The spears disappear instantly.",Default skill of the Anvil Hammer,1
51,Romina's Purification,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rominas-purification.gif,Unique,Poleblade of the Bud,No,24 (-/-),Imbues bud-blade with scarlet rot butterflies before unleashing two large sweeping slashes. This was once considered a sacred act of purification.,Default skill of Poleblade of the Bud.,1
52,Poison Spear-Hand Strike,https://eldenring.wiki.fextralife.com/file/Elden-Ring/poison_spear-hand_strike.gif,Unique,Poisoned Hand,No,13 (-/-),Makes hand into the shape of a spear before unleashing a plunging stab that penetrates the body of the enemy. Afflicts foe with a large dose of deadly poison.,Default skill of Poisoned Hand.,1
53,Madding Spear-Hand Strike,https://eldenring.wiki.fextralife.com/file/Elden-Ring/madding_spear-hand_strike.gif,Unique,Madding Hand,No,13 (-/-),Makes hand into the shape of a spear before unleashing a plunging stab that penetrates the body of the enemy. Afflicts foe with a large dose of madness.,Default skill of Madding Hand.,1
54,Feeble Lord's Frenzied Flame,https://eldenring.wiki.fextralife.com/file/Elden-Ring/feeble_lords_frenzied_flame.gif,Unique,Nanaya's Torch,Yes,3 (-/-),"Hold torch out in front and spit out frenzied flame. Afflicts those caught in its area of effect with madness, along with the user themselves. The skill will continue for as long as the button is held down. Can be used while moving.",Default skill of Nanaya's Torch,1
55,Repeating Fire,https://eldenring.wiki.fextralife.com/file/Elden-Ring/repeating_fire.gif,Unique,Repeating Crossbow,No,- (26/26),"This skill readies the weapon's rapid-fire mechanism. Once in ready stance, crank the handle to fire bolts in rapid succession.",Default skill of Repeating Crossbow.,1
56,Deadly Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/deadly-dance.gif,Unique,Curseblade's Cirque,No,15 (-/8)z,An aggressive spinning skill that tears into foes using the circular blades held in each hand. Additional input allows for a sharp axe-kick follow-up.,Default skill of the Curseblade's Cirque,1
57,Fan Shot,https://eldenring.wiki.fextralife.com/file/Elden-Ring/fan_shot2.gif,Unique,Ansbach's Longbow,No,-1,"This skill uses the bow held horizontally. Readies eight arrows at once, firing them in a fan-shaped arc.",Default skill of the Ansbach's Longbow.,1
58,Discus Hurl,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ezgif.com-video-to-gif-converter_(1).gif,Unique,Smithscript Shield,No,3 (-/-),"Throws the roundshield like a discus. Once thrown, the shield will be instantly restored to the wielder's hand through the smithing arts.",Default skill of Smithscript Shield.,1
59,Flower Dragonbolt,https://eldenring.wiki.fextralife.com/file/Elden-Ring/flower_dragonbolt.gif,Unique,Flowerstone Gavel,Yes,18 (-/-),Calls down the red lightning of the ancient dragons to strike a target. Deals lightning damage and also temporarily reduces the target's lightning damage negation. Can be charged to increase its power.,Default skill of Flowerstone Gavel.,1
60,Kowtower's Resentment,https://eldenring.wiki.fextralife.com/file/Elden-Ring/kowtowers_resentment.gif,Unique,Gazing Finger,Yes,31 (-/-),"Skill performed as a violent bow using a finger's foremost protrusion. Resentment builds as it is forced to bow, making it explode with anger. Hold button down to further increase resentment.",Default skill of Gazing Finger.,1
61,Painful Strike,https://eldenring.wiki.fextralife.com/file/Elden-Ring/painful_strike.gif,Unique,Tooth Whip,No,16 (-/-),"A chastening whip strike, honed to maximize pain. Temporarily reduces the rate at which stamina recovers. Thus does the pain encourage obedience.",Default skill of Tooth Whip.,1
62,Solitary Moon Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/solitary-moon-slash.gif,Unique,Greatsword of Solitude,No,12 (-/10),"Sharply slash downward using the greatsword, shooting forward an arc of light. Strong attack allows for an advancing follow-up.",Default skill of Greatsword of Solitude,1
63,Revenge of the Night,https://eldenring.wiki.fextralife.com/file/Elden-Ring/revenge_of_the_night.gif,Unique,Shield of Night,No,5 (-/-),"Unleashes the dark of Night imbued with magic power. If used immediately after blocking an incoming attack, its power is absorbed, bolstering the strength of this skill.",Default skill of Shield of Night.,1
64,Weed Cutter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasas-great-katana---weed-cutter.gif,Unique,Rakshasa's Great Katana,No,8 (-/8),"Performs scythe-like horizontal swings with the sword, cutting men down as if they were weeds. Additional inputs allow for the continuation of the attack for as long as stamina remains.",Default skill of Rakshasa's Great Katana.,1
65,Blindfold of Happiness,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blindfold_of_happiness.gif,Unique,Lamenting Visage,No,10 (-/-),"Swing the head while covering the eyes, unleashing a wail of lamentation while temporarily making the user of this skill harder to see. To those who seek happiness, blindness is bliss.",Default skill of Lamenting Visage,1
66,Jori's Inquisition,https://eldenring.wiki.fextralife.com/file/Elden-Ring/joris_inquisition.gif,Unique,Barbed Staff-Spear,Yes,4 (-/-),"Thrust the greatstaff into the air, firing off a succession of golden barb-like arcs. Holding the button down extends the barrage for a short duration.",Default skill of the Barbed Staff-Spear,1
67,Roaring Bash,https://eldenring.wiki.fextralife.com/file/Elden-Ring/roaring_bash.gif,Unique,Golden Lion Shield,No,12 (-/-),Roar like a golden lion and deliver a shield bash from a guarding position. Knocks back and staggers foes over a wide radius.,Default skill of Golden Lion Shield,1
68,Deadly Poison Spray,https://eldenring.wiki.fextralife.com/file/Elden-Ring/deadly_poison_spray.gif,Unique,Deadly Poison Perfume Bottle,No,21 (-/-),"Swings the perfume bottle overhead, wafting perfumed powder of deadly poison over a wide area. Poison shall dance upon the air and pour down in quiet calm.",Default skill of the Deadly Poison Perfume Bottle,1
69,"Flare, O Serpent","http://eldenring.wiki.fextralife.com/file/Elden-Ring/flare,-o-serpent.gif",Unique,Serpent Flail,No,8 (-/-),"Ignites a flame inside the snakes, temporarily empowering flame attacks. Once ignited, strong attacks and other moves that strike the ground will cause an explosion.",Default skill of the Serpent Flail,1
70,Scattershot (Claws),https://eldenring.wiki.fextralife.com/file/Elden-Ring/scattershot-throw.gif,Unique,Claws of Night,No,11 (-/11),Employ smithing arts to conjure multiple copies of the claws in both hands and throw them all at once. Follow up with an additional input to throw again.,Default skill of Claws of Night,1
71,Hone Blade,https://eldenring.wiki.fextralife.com/file/Elden-Ring/hone_blade.gif,Unique,Bonny Butchering Knife,No,16 (-/-),"Perform a stroking action to sharpen blade, honing its cutting edge and increasing amount of HP recovered. The greater potentates treasure the tools of their practice.",Default skill of the Bonny Butchering Knife,1
72,Horn Calling,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horn-calling.gif,Unique,Horned Warrior's Sword,No,17 (-/-),"Invokes tangled horns to cover the weapon's blade. Drive the weapon into the ground, calling up a cluster of piercing horns.",Default skill of the Horned Warrior's Sword,1
73,Horn Calling: Storm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horn-calling-storm.gif,Unique,Horned Warrior's Greatsword,No,22 (-/10),"Invokes tangled horns to cover the weapon's blade. Call a storm into the horns, then mow through enemies. Additional inputs allow for up to two follow-up attacks",Default skill of the Horned Warrior's Greatsword,1
74,Tremendous Phalanx,https://eldenring.wiki.fextralife.com/file/Elden-Ring/tremendous_phalanx2_2.gif,Unique,Moonrithyll's Knights Sword,No,16 (-/6),"Skill of the enchanted troll knights. Creates a defensive arch of enormous magic glintblades overhead, which automatically attack nearby foes. Follow up with a strong attack to chain this skill into a lunging thrust.",Default skill of the Moonrithyll's Knights Sword,1
75,Bloodfiends' Bloodboon,https://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodfiends_bloodboon.gif,Unique,Bloodfiend's Sacred Spear,No,20 (-/20),"Raise the sacred spear and pierce the body of the mother of truth, creating an explosion of bloodflame in the area surrounding the target. Additional input allows for up to three follow-up attacks.",Defaul skill of the Bloodfiend's Sacred Spear,1
76,Dragonform Flame,https://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonform_flame.gif,Unique,Forked-Tongue Hatchet,No,14 (-/-),"Spew fire from a dragon-form maw, sweeping in a frontward arc. The flames on the ground will continue to burn for a short time.",Default skill of Forked-Tongue Hatchet,1
77,Lightspeed Slash,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightspeed-slash.gif,Unique,Greatsword of Radahn (Light),Yes,26 (-/-),Assume a luminous form and leap forward to deliver a downward slash at the speed of light. This attack will be followed up by an additional light attack. Charge to increase power of the skill and number of follow-up attacks.,Default skill of Greatsword of Radahn (Light),1
78,Rancor Shot,https://eldenring.wiki.fextralife.com/file/Elden-Ring/rancor_shot.gif,Unique,Bone Bow,No,-1,"Imbue arrows with vengeful spirits, before firing off a barrage. Imbued arrows chase down foes as they cut through the air.",Default skill of the Bone Bow,1
79,Stamp (Upward Cut),http://eldenring.wiki.fextralife.com/file/Elden-Ring/stamp_(upward_cut)_gif.gif,Regular,"Can be used on Swords, Axes, and Hammers, (small and medium swords excepted).",No,5 (-/8),Brace armament and step into a low stance that prevents recoil from most enemy attacks.Follow up with a strong attack for an upward strike.,"Default skill on the Zweihander.
Sold by Knight Bernahl at the Warmaster's Shack for 1,500 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
80,Stamp (Sweep),http://eldenring.wiki.fextralife.com/file/Elden-Ring/stamp_(sweep)_gif.gif,Regular,"Can be used on Swords, Axes, and Hammers (small and medium swords excepted).",No,5 (-/8),Brace armament and step into a low stance that prevents recoil from most enemy attacks. Follow up with a strong attack for a sweeping strike.,"Dropped by an invisible Teardrop Scarab located at the beaches of Western Limgrave. From where the Giant Land Octopus and Land Octopus enemies are, check the east side of the shore and you'll see some pillars on the beach. You'll notice multiple glowing prints moving around the pillars. Attack it at the right time just when it's about to approach you to reveal the scarab. Elden Ring Map Link.",0
81,Wild Strikes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-wild-strikes-elden-ring-wiki-480px.gif,Regular,Can be used on Axes and Hammers as well as Curved Swords and Greatswords (colossal weapons excepted).,No,2 (10/15),Swing armament with wild abandon. Hold to continue swinging. Can be followed up with a normal or strong attack.,"Default skill on the Battle Axe.
Dropped from a Teardrop Scarab located in the middle of the path leading from the Stormhill Shack Site of Grace to the Castleward Tunnel Site of Grace. Elden Ring Map Link.",0
82,Lion's Claw,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lion's_claw_gif_elden_ring_wiki_guide.gif,Regular,"Can be used on Swords, Axes, and Hammers (small armaments and Thrusting Swords excepted).",No,20,"Skill of the Redmanes, who fought alongside the General Radahn.Somersault forwards, striking foes with armament","Default skill on the Claymore.
Drops from the Lion Guardian in Fort Gael upon defeating it. Elden Ring Map Link.",0
83,Cragblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cragblade.gif,Regular,Can be used on melee armaments (Whips excepted).,No,16,"Skill that manipulates gravity. Bury the armament in the ground, pulling rocks from the earth to reinforce it. Increases attack power and makes it easier to break enemy stance.","West of Impassable Greatbridge site, on a scarab in the sword monument. Elden Ring Map Link.",0
84,Kick,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-kick-elden-ring-wiki-480px.gif,Regular,Can be used on all melee armaments.,No,-,"Push an enemy back with a high kick.Effective against enemies who are guarding, and can break a foe's stance.","Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
85,Endure,http://eldenring.wiki.fextralife.com/file/Elden-Ring/endure.gif,Regular,Can be used on all melee armaments.,No,9,"Assume an anchored stance to brace for incoming attacks, briefly boosting poise. Damage taken while using this skill is reduced.","Default skill on the Dragon Greatclaw.
Sold by Knight Bernahl at the Warmaster's Shack for 600 . Elden Ring Map Link.
Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing.",0
