id,name,image,HP,Locations & Drops,blockquote,dlc
23,Regal Ancestor Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/regal-ancestor-spirit_map-bosses-enemies-elden-ring-wiki-guide-300px.jpg,"6,301","{'Nokron, Eternal City': ['24,000', 'Remembrance of the Regal Ancestor']}","Ancestral spirits exist as a phenomenon beyond the purview of the Erdtree. Life sprouts from death, as it does from birth. Such is the way of the living. ",0
24,Radagon of the Golden Order,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radagon_of_the_golden_order_bosses_elden_ring_wiki_600px1-min.jpg,"≈ 13,339 (GOD)","{'Stone Platform': ['Elden Throne :', 'N/A']}","As the husband of Rennala of Caria, the red-haired Radagon studied sorcery, and as the husband of Queen Marika, he studied incantations. Thus did the hero aspire to be complete. ",0
25,"Godfrey, First Elden Lord",http://eldenring.wiki.fextralife.com/file/Elden-Ring/godfrey_first_elden_lord_bosses_elden_ring_wiki_600px1-min.jpg,"21,903","{'Leyndell, Ashen Capital': ['300,000', 'Remembrance of Hoarah Loux']}",,0
26,Fire Giant,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_giant_bosses_elden_ring_wiki_600px1-min.jpg,"42,363","{'Flame Peak': ['180,000', 'Remembrance of the Fire Giant']}","The Fire Giant is a survivor of the War against the Giants. Upon realizing the flames of their forge would never die, Queen Marika marked him with a curse. ",0
27,Dragonlord Placidusax,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonlord_placidusax_bosses_elden_ring_wiki_600px1-min.jpg,"26,651","{'Crumbling Farum Azula': ['280,000', 'Remembrance of the Dragonlord']}","The Dragonlord whose seat lies at the heart of the storm beyond time is said to have been Elden Lord in the age before the Erdtree. Once his god was fled, the lord continued to await its return. ",0
28,Ancient Dragon Senessax,http://eldenring.wiki.fextralife.com/file/Elden-Ring/senessax.png,"45,551","{'Jagged Peak': ['200,000', 'Ancient Dragon Smithing Stone', 'Somber Ancient Dragon Smithing Stone']}",,1
29,Ancient Dragon-Man,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragon-weeb.png,"19,097","{""Dragon's Pit"": ['130,000', ""Dragon-Hunter's Great Katana""]}",,0
30,Chief Bloodfiend,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chief-bloodfiend-elden-ring-wiki-600px.jpg,"10,974","{'Rivermouth Cave': ['80,000', ""Bloodfiend Hexer's Ashes""]}",,0
31,Dancer of Ranah,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancer.png,"14,046","{'Southern Nameless Mausoleum': ['80,000', 'Dancing Blade of Ranah', ""Dancer's Set""]}",,0
32,Dryleaf Dane,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf.png,"12,249","{'Moorth Ruins': ['0', ""Dane's Hat"", 'Dryleaf Arts']}",,1
33,Golden Hippopotamus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/hippo.png,"33,866","{'Shadow Keep': ['150,000', 'Aspects of the Crucible: Thorns', 'Scadutree Fragment x2'], ""Charo's Hidden Grave"": ['9,576', 'Scadutree Fragment'], ""Recluses' River"": ['11,270 each', 'Scadutree Fragment each'], 'Ancient Ruins of Rauh': ['11,960', 'Scadutree Fragment']}",,0
34,Jagged Peak Drake,http://eldenring.wiki.fextralife.com/file/Elden-Ring/jagged-peak-drake-1-elden-ring-wiki-600px.jpg,,"{'Jagged Peak Foothills': ['90,000', 'Dragon Heart', 'Dragonscale Flesh'], '<a class=""wiki_link"" href=""/Jagged+Peak"" title=""Elden Ring Jagged Peak"">Jagged Peak</a>:': ['120,000', 'Dragon Heart', 'Dragonscale Flesh']}",,0
35,"Jori, Elder Inquisitor",http://eldenring.wiki.fextralife.com/file/Elden-Ring/jori.png,"30,506","{'Abyssal Woods': ['260,000', 'Barbed Staff-Spear']}",,1
36,Cemetery Shade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cemetery_shade_bosses_elden_ring_wiki_600px1-min.jpg,,"{'Tombsward Catacombs:': ['2,200', 'Lhutel the Headless'], 'Black Knife Catacombs:': ['3,500', 'Twinsage Sorcerer Ashes'], 'Caelid Catacombs:': ['6,800', 'Kindred of Rot Ashes']}",Insect-ridden grave keepers. ,0
37,Ancestor Spirit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancestor_spirit1-min.jpg,"4,393","{'Siofra River': ['13,000', 'Ancestral Follower Ashes']}",,0
38,Dragonkin Soldier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonkin-soldier-1-elden-ring-wiki-guide.jpg,,"{'Siofra River:': ['16,000', 'Dragon Halberd'], 'Lake of Rot:': ['58,000', 'Dragonscale Blade']}","Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin. ",0
39,"Margit, the Fell Omen",http://eldenring.wiki.fextralife.com/file/Elden-Ring/margit-1-boss-elden-ring-wiki.jpg,"4,174","{'Stormveil Castle:': ['12,000', 'Talisman Pouch (NG only, Morgott not defeated)'], 'Capital Outskirts': ['16,800', 'Viridian Amber Medallion +1']}",Someone must extinguish thy flame. Let it be Margit the Fell! ,0
40,Flying Dragon Agheel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/flying_dragon_agheel_2_bosses_elden_ring_wiki_600px1-min.jpg,"3,200","{'Dragon-Burnt Ruins': ['5,000, Dragon Heart']}","The dead gazed at the skies over the lakes of Limgrave, praying that the dragons' flames would burn them to ash. ",0
41,Dragonkin Soldier of Nokstella,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dragonkin_nokstella_bosses_elden_ring_wiki_600px1-min.jpg,"4,372","{'Ainsel River': ['12,000', 'Frozen Lightning Spear']}","The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon. ",0
42,Leonine Misbegotten,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leonine_misbegotten_bosses_elden_ring_wiki_600px1.jpg,"2,198","{'Castle Morne': ['Runes 3,800 (NG)', 'Runes 950 (NG, Co-op)', 'Grafted Blade Greatsword']}",,0
43,Red Wolf of Radagon,http://eldenring.wiki.fextralife.com/file/Elden-Ring/red-wolf-of-radagon-2-elden-ring-wiki-guide.jpg,"2,204","{'Raya Lucaria Academy': ['14,000 Runes (NG)', '3,500 Runes (NG, Co-op)', 'Runes 63,100 (NG +3)', 'Memory Stone']}",,0
44,Glintstone Dragon Adula,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_dragon_bosses_elden_ring_wiki_600px1-min.jpg,,"{'Three Sisters:': ['No drops'], 'Cathedral of Manus Celes:': ['120,000', ""Adula's Moonblade"", 'Dragon Heart x3']}","Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon. ",0
45,"Borealis, the Freezing Fog",http://eldenring.wiki.fextralife.com/file/Elden-Ring/borealis_enemies_elden_ring_wiki_300px.jpg,"11,268","{'Mountaintops of the Giants': ['100,000', 'Dragon Heart']}","The ice dragons were once lords of the mountaintops long ago, until they were defeated by the Fire Giants and chased from the peak. ",0
46,Decaying Ekzykes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/decaying_ekzykes_bosses_elden_ring_wiki_guide1-min.jpg,"23,731","{'Caelid': ['38,000, Dragon Heart']}","Ekzykes, Dragon Communion Revenger, did not forget his hatred even as he succumbed to the scarlet rot. ",0
47,Valiant Gargoyle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/valiant_gargoyle1-min.jpg,,"{'Siofra Aqueduct:': ['30,000', ""Gargoyle's Greatsword"", ""Gargoyle's Twinblade""], 'Capital Outskirts:': ['2,835', 'Gargoyle’s Great Axe'], 'Leyndell, Royal Capital:': ['3,332', ""Gargoyle's Halberd""], 'Leyndell, Ashen Capital:': ['8,608']}",The missing parts have been mended with corpse wax; a patchwork of champions. ,0
48,Valiant Gargoyle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/valiant_gargoyle1-min.jpg,,"{'Siofra Aqueduct:': ['30,000', ""Gargoyle's Greatsword"", ""Gargoyle's Twinblade""], 'Capital Outskirts:': ['2,835', 'Gargoyle’s Great Axe'], 'Leyndell, Royal Capital:': ['3,332', ""Gargoyle's Halberd""], 'Leyndell, Ashen Capital:': ['8,608']}",The missing parts have been mended with corpse wax; a patchwork of champions. ,0
49,Godskin Apostle and Godskin Noble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_duo_spirit_elden_ring_wiki_guide_300px.jpg,"22,581 - Combined (Field Boss)","{'Spiritcaller Cave , Mountaintops of the Giants': ['Runes 70,000 (NG)', 'Runes 52,500 (NG, Co-op Host)', 'Runes 17,500 (NG, Co-op Phantom)', 'Godskin Swaddling Cloth x1', 'Black Flame Ritual x1']}",,0
50,Godskin Duo,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_duo_elden_ring_wiki_guide_300px.jpg,"26,350","{'Crumbling Farum Azula': ['170,000', ""Smithing-Stone Miner's Bell Bearing [4] (NG only)"", 'Ash of War: Black Flame Tornado']}","The black flame could once slay gods. But when Maliketh sealed Destined Death, the true power of the black flame was lost.  ",0
51,Blackgaol Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blackight-gaol-boss-1-elden-ring-wiki-guide.jpg,"14,129","{'Western Nameless Mausoleum': ['70,000', 'Greatsword of Solitude', 'Solitude Set']}",,1
52,Black Knight Garrew,http://eldenring.wiki.fextralife.com/file/Elden-Ring/garrew.png,"9,792","{'Fog Rift Fort': ['80,000', 'Black Steel Greatshield']}",,0
53,Black Knight Edredd,http://eldenring.wiki.fextralife.com/file/Elden-Ring/edreed.png,"9,792","{'Fort of Reprimand': ['80,000 (400,000 with Golden Eyes)', 'Ash of War: Aspects of the Crucible: Wings']}",,1
54,"Count Ymir, Mother of Fingers",http://eldenring.wiki.fextralife.com/file/Elden-Ring/count-ymir-mother-of-fingers-boss-elden-ring-wiki-guide.jpg,"11,147","{'Cathedral of Manus Metyr': ['210,000', ""Ymir's Bell Bearing"", 'Maternal Staff', 'High Priest Set']}",My Shining Star. ,0
55,Curseblade Labirith,http://eldenring.wiki.fextralife.com/file/Elden-Ring/curseblade-labirith-elden-ring-wiki-600px.jpg,"8,426","{'Bonny Gaol': ['100,000', 'Curseblade Meera']}",,0
56,Death Knight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death-knight.png,,"{'Fog Rift Catacombs': ['110,000 Runes', ""Death Knight's Twin Axes"", 'Crimson Amber Medallion +3'], 'Scorpion River Catacombs:': ['130,000 Runes', ""Death Knight's Longhaft Axe"", 'Cerulean Amber Medallion +3']}",,0
57,Death Rite Bird,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_rite_bird_bosses_elden_ring_wiki_guide1-min.jpg,,"{'Academy Gate Town:': ['7,800', 'Ancient Death Rancor'], 'Caelid': ['15,000', ""Death's Poker""], 'Mountaintops of the Giants:': ['77,000', 'Death Ritual Spear'], 'Apostate Derelict:': ['220,000', 'Explosive Ghostflame'], ""Charo's Hidden Grave"": ['230,000', 'Ash of War: Ghostflame Call']}","In the time when there was no Erdtree, death was burned in ghostflame. Deathbirds were the keepers of that fire. ",0
58,Demi-Human Swordmaster Onze,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demi-human_swordmaster_onze.png,"7,441","{'Belurat Gaol': ['80,000 Runes', 'Demi-Human Swordsman Yosh']}",,1
59,Demi-Human Queen Marigga,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demi-queen.png,"9,793","{'Cerulean Coast': ['100,000', 'Star-Lined Sword']}",,1
60,Fallingstar Beast,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fallingstar_beast_altus_plateau_enemies_elden_ring_wiki_300px.jpg,,"{'Sellia Crystal Tunnel': ['7,600', ""Somberstone Miner's Bell Bearing (1)"", 'Smithing Stone (7) x5', 'Somber Smithing Stone (6)', 'Gravity Stone Chunk x4'], 'Altus Plateau:': ['11,000', 'Somber Smithing Stone (5)', 'Smithing Stone (6) x5', 'Gravity Stone Fan', 'Gravity Stone Chunk'], 'Finger Ruins of Dheo:': ['170,000', 'Gravitational Missile']}",,0
61,Lamenter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lamenter.png,"12,249","{""Lamenter's Gaol"": ['160,000', ""Lamenter's Mask""]}",,0
62,Ralva the Great Red Bear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ralva.png,"29,606","{'Scadu Altus': ['180,000', 'Pelt of Ralva']}",,1
63,Rakshasa,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasa.png,"20,235","{'Eastern Nameless Mausoleum': ['90,000', ""Rakshasa's Great Katana"", ""Rakshasa's Set""]}",,0
64,Red Bear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mr-teddy.png,"16,365","{'Northern Nameless Mausoleum': ['80,000', ""Red Bear's Claw"", 'Iron Rivet Set']}",,0
65,Rugalea the Great Red Bear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rugalea-the-great-red-bear-boss-elden-ring-wiki-guide.jpg,"30,535","{'Rauh Base': ['210,000', 'Roar of Rugalea']}",,1
66,Tree Sentinel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tree-sentinel-1-small1-min.jpg,,"{'Limgrave': ['3,200', 'Golden Halberd'], 'Altus Plateau:': ['20,000', 'Erdtree Greatshield', ""Hero's Rune [1]""], 'Hinterland': ['120,000', 'Blessing of Marika each']}","The living rampart of the Erdtree, the Tree Sentinels are the standard to which all defenders of the Erdtree aspire. ",0
67,Mad Pumpkin Head,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mad_pumpkin_head_bosses_elden_ring_wiki_600px1-min.jpg,,"{None: ['120,000', 'Blessing of Marika each']}","Though he has stifled his panic within the dark confines of his helmet, he rampages as if driven mad when agitated by bloodshed or the humming of insects. This mad soldier is all that is left of a broken gladiator. ",0
68,Erdtree Burial Watchdog,http://eldenring.wiki.fextralife.com/file/Elden-Ring/burial_watchdog_bosses_elden_ring_wiki_600px1-min.jpg,,{},"The Watchdogs, battered and broken over their lengthy tenure, rule the catacombs and are even said to command the imps. ",0
69,Stonedigger Troll,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stonedigger_troll_bosses_elden_ring_wiki_600px1-min.jpg,,"{'<a class=""wiki_link"" href=""/Limgrave+Tunnels"" title=""Elden Ring Limgrave Tunnels"">Limgrave Tunnels</a>:': ['1,800 Runes (NG)', '450 Runes (NG, Co-op)'], '': ['Roar Medallion'], 'Old Altus Tunnel:': ['9,600 (NG)', '7,200 (NG, Co-op Host)', '2,400 (NG, Co-op Phantom)', 'Other Drops:', 'Great Club']}","Trolls are descended from the giants, and their hammers were supposedly once used as ceremonial smithing tools. In the distant past, smithing was considered divine. ",0
70,Grafted Scion,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grafted_scion_enemies_elden_ring_wiki_600px1-min.jpg,,"{'Chapel of Anticipation': ['3,200', 'Ornamental Straight Sword', 'Golden Beast Crest Shield'], ""Fringefolk Hero's Grave"": ['Stormveil Castle : 1,176'], 'Liurnia of the Lakes': ['1,283', 'Larval Tear'], 'Mt Gelmir': []}",,0
71,"Rick, Soldier Of God",http://eldenring.wiki.fextralife.com/file/Elden-Ring/soldier-of-godrick-boss-elden-rings.jpg,384,{'Stranded Graveyard': ['400']},"That depraved lot are obsessed with sacrificing Tarnished like you for the sake of ""grafting"". ",0
72,Beastman of Farum Azula,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beastman-of-farum-azula1.jpg,,{},"Beastmen from the doomed Farum Azula, the slowly crumbling ruins in the skies. These ruins are said to be the remains of a giant mausoleum enshrining an ancient dragon, guarded by chosen beastmen who wield weapons clad in lightning. ",0
73,Demi-Human Chiefs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/demihuman-chief-boss-enemy-elden-ring-wiki-guide.jpg,"1,218","{'Coastal Cave': ['1,200', 'Tailoring Tools', 'Sewing Needle']}",They'll rush in and beat you to a pulp. You'll end up just like me. - Boc the Seamster ,0
74,Runebear,http://eldenring.wiki.fextralife.com/file/Elden-Ring/runebear_bosses_elden_ring_wiki_guide1.jpg,"3,311","{'Earthbore Cave': ['Runes 2,600 (NG)', 'Runes 650 (NG, Co-op)', 'Spelldrake Talisman']}",,0
75,Crucible Knights,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crucible-knight-stormhill-3-min.jpg,,"{None: ['Stormhill Evergaol :', '2,100 (NG)', '10,500 (NG+1)', 'Aspects of the Crucible: Tail Stormveil Castle :', '1,613', 'Aspects of the Crucible: Horns', 'Siofra River :', '3,080 Siofra Aqueduct :', '3,080 each', 'Sword: Crucible Hornshield', 'Spear: Somber Smithing Stone [6] Leyndell, Royal Capital :', '3,840 each Crumbling Farum Azula :', '7,360 each']}",,0
76,Ancient Hero of Zamor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_hero_of_zamor_enemies_elden_ring_wiki_300px.jpg,,"{'Weeping Evergaol': ['5,400', 'Other Drops', ""Radagon's Scarseal""], ""Sainted Hero's Grave:"": ['24,000 Runes (NG)', '15,000 Runes (NG, Co-op Host)', '5,000 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Ancient Dragon Knight Kristoff Ashes'], ""Giant-Conquering Hero's Grave:"": ['83,000 Runes (NG)', '62,250 Runes (NG, Co-op Host)', '20,750 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Zamor Curved Sword', 'Zamor Mask', 'Zamor Armor', 'Zamor Bracelets', 'Zamor Legwraps']}","These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial. ",0
77,Tree Sentinel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tree-sentinel-1-small1-min.jpg,,"{'Limgrave': ['3,200', 'Golden Halberd'], 'Altus Plateau:': ['20,000', 'Erdtree Greatshield', ""Hero's Rune [1]""], 'Hinterland': ['120,000', 'Blessing of Marika each']}","The living rampart of the Erdtree, the Tree Sentinels are the standard to which all defenders of the Erdtree aspire. ",0
78,Draconic Tree Sentinel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/draconic-tree-sentinel-2-elden-ring-wiki-guide.jpg,,"{'Capital Outskirts:': ['50,000', 'Dragon Greatclaw', 'Dragonclaw Shield'], '<a class=""wiki_link"" href=""/Crumbling+Farum+Azula"" title=""Elden Ring Crumbling Farum Azula"">Crumbling Farum Azula</a>:': ['28,080', 'Malformed Dragon Set']}","After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves. ",0
79,Black Knife Assassin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black-knife-assassin-limgrave-2-min.jpg,,"{None: ['28,080', 'Malformed Dragon Set']}","The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself. ",0
80,Crystalian,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystalians_bosses_elden_ring_wiki_guide_300x.jpg,,"{'Raya Lucaria Crystal Tunnel:': ['3,000 Runes (NG)', '2,350 Runes (NG, Co-op Host)', '750 Runes (NG, Co-op Phantom)', 'Other Drops:', ""Smithing-Stone Miner's Bell Bearing (1)""], 'Academy Crystal Cave:': ['3,300 Runes (NG)', '2,465 Runes (NG, Co-op Host)', '835 Runes (NG, Co-op Phantom)', 'Other Drops:', 'Crystal Release'], 'Altus Tunnel:': ['9,000 Runes (NG)', '6750 Runes (NG, Co-op Host)', '2,250 Runes (NG, Co-op Phantom)', 'Other Drops:', ""Somberstone Miner's Bell Bearing (2)""]}","The Crystalians are inorganic beings, yet they live. They cleave close to the ideals of the primeval current, and as such, they are revered guests of the sorcerers.. ",0
81,Night's Cavalry,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_bosses_elden_ring_wiki_guide1-min.jpg,,"{None: ['Limgrave :', 'Runes 2,400 (NG)', 'Other Drops:', 'Ash of War: Repeating Thrust', 'Weeping Peninsula :', '3,400 (NG)', 'Other Drops:', 'Ash of War: Barricade Shield', 'Nightrider Flail', 'Liurnia South :', '5,600 Runes', 'Other Drops:', 'Ash of War: Ice Spear', 'Liurnia North :', '5,600', 'Other Drops:', 'Ash of War: Giant Hunt', 'Nightrider Glaive Caelid :', '8,500', 'Other Drops:', 'Ash of War: Poison Moth Flight Altus Plateau :', '10,000', 'Other Drops:', 'Ash of War: Shared Order Forbidden Lands :', '36,000', 'Other Drops:', ""Ash of War: Phantom Slash Greyoll's Dragonbarrow :"", '42,000', 'Other Drops:', ""Ash of War: Bloodhound's Step Consecrated Snowfield :"", '84,000', 'Other Drops:', ""Night's Cavalry Set"", 'Ancient Dragon Smithing Stone']}","The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions. ",0
