id,name,image,region,items,npcs,creatures,bosses,description,dlc
25,Enir-Ilim,http://eldenring.wiki.fextralife.com/file/Monster-Hunter-World/thumbnails/mhws.png,Legacy Dungeons,"['Rune Arc', 'Broken Rune', 'Thin Beast Bones', 'Gold Horn Tender', 'Stanching Boluses', 'Dragonbolt Grease', 'Silver Horn Tender', 'Messmerfire Grease', 'Neutralizing Boluses', 'Fireproof Pickled Liver', 'Holyproof Pickled Liver', 'Drawstring Golden Grease', 'Furlcalling Finger Remedy', 'Lightningproof Pickled Liver', 'Fire Arrow', 'Golden Bolt', ""Lordsworn's Bolt"", 'Sunwarmth Stone', ""Leda's Sword"", 'Obsidian Lamina', ""Dane's Footwork"", ""Frejya's Greatsword"", 'Verdigris Greatshield', ""Horned Warrior's Greatsword"", ""Thiollier's Hidden Needle"", ""Freyja's Set"", 'Verdigris Set', ""Leda's Armor"", ""Ansbach's Set"", 'Circlet of Light', 'Gravebird Helm', ""Thiollier's Set"", 'Spira', 'Furious Blade of Ansbach', 'Inquisitor Ashes', 'Horned Warrior Ashes', 'Budding Horn', 'Revered Spirit Ash', 'Smithing Stone [8]', 'Scadutree Fragment', 'Redflesh Mushroom', 'Whiteflesh Mushroom', 'Somber Smithing Stone [5]', 'Somber Smithing Stone [6]', 'Somber Smithing Stone [9]', 'Somber Ancient Dragon Smithing Stone', 'Divine Bird Set', 'Horned Warrior Set', 'Horned Warrior Greatsword', ""Moore's Bell Bearing"", 'Let Us Go Together', 'Remembrance of a God and a Lord', 'Euporia', 'Scadutree Fragment']","['Moore', 'Thiollier', 'Sir Ansbach', 'Dryleaf Dane', 'Redmane Freyja', 'Needle Knight Leda']","['Man-Fly', 'Inquisitor', 'Gravebird', 'Curseblade', 'Horned Warrior', 'Spider Scorpion', 'Shadow Undead', 'Divine Bird Warrior', 'Horned Shaman']","['Promised Consort Radahn', 'Radahn, Consort of Miquella']",,1
26,Finger Ruins of Miyr,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger-ruins-of-miyr-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"[""Finger-Weaver's Cookbook (2)"", 'Finger Mimic', 'Claws of Night', 'High Priest Set', 'Maternal Staff', ""Ymir's Bell Bearing""]",['Swordhand of Night Anna'],,"['Metyr, Mother of Fingers']",Large ruins located in Scadu Altus.,1
27,Fog Rift Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fog-rift-catacombs-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"[""Ancient Dragon Knight's Cookbook (1)"", 'Dragonbolt Grease', 'Shadow Realm Rune (3)', 'Broken Rune', 'Glass Shard', 'Yellow Fulgurbloom', 'Knot Resin', 'Grave Glovewort (1)', 'Great Ghost Glovewort', 'Messmer Soldier Gauntlets', 'Stone-Sheathed Sword', 'Ash of War: Blinkbolt', 'Electrocharge', 'Black Knight Commander Andreas']",,"['Inquisitor', 'Fanged Imp', 'Black Knight', 'Bigmouth Imp', 'Messmer Soldier', 'Putrescence Sorcerer']",['Death Knight'],Large underground catacombs infested with foes.,1
28,Fort of Reprimand,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fort-of-reprimand-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Broken Rune', ""Battlefield Priest's Cookbook (2)"", 'Festive Grease', 'Fireproof Pickled Liver', 'Smithing Stone (5)', 'Smithing Stone (8)', 'Throwing Dagger', 'Grace Mimic', 'Furlcalling Finger Remedy', 'Shadow Realm Rune (4)', 'Kukri', 'Dewgem', 'Blessed Bone Shard', 'Furnace Visage', 'Spiritgrave Stone', 'Knot Resin', 'Common Soldier Armor Set', 'Flamedrake Talisman +3', 'Ash of War: Aspects of the Crucible: Wings', 'Messmer Soldier Ashes']",,"['Omenkiller', 'Messmer Foot Soldier', 'Blue Worm']",['Black Knight Edreed'],A large fort overlooking the abyssal woods.,1
29,Moorth Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/moorth-ruins-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Shadow Realm Rune (3)', 'Furcalling Finger Remedy', 'String', 'Shadow Sunflower', 'Scadutree Fragment', 'Whiteflesh Mushroom', 'Knot Resin', 'Shattered Stone Talisman', 'Golden Arcs']",['Dryleaf Dane'],"['Shadow Undead', 'Curseblade', 'Horned Shaman']",,"Large Crumbled ruins in Scadu Altus, with huge underground structure.",1
30,Rabbath's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rabbaths-rise-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"[""Rabbath's Cannon"", ""Spellmachinist's Bell Bearing"", 'Jolan and Anna']",,,,Filapidated empty tower in Scadu Altus. With a balcony hidden behind the secret wall.,1
31,Ruined Forge of Starfall Past,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ruined-forge-of-starfall-past-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Gas Stone', 'Glass Shard', 'Smithing Stone [2]', 'Smithing Stone [3]', 'Smithing Stone [5]', 'Smithing Stone [6]', 'Smithing Stone [8]', 'Somber Smithing Stone [7]', 'Somber Smithing Stone [8]', 'Ancient Dragon Smithing Stone', 'Smithscript Spear', 'Smithscript Cirque', 'Smithing Talisman', 'Ancient Meteoric Ore Greatsword']",,"['Living Magma', 'Misbegotten', 'Golem Smith']",,One of the many forges located in the realm of shadow. The Ruined Forge of Starfall Past is situated in the region of Scadu Altus.,1
32,Ruins of Unte,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ruins-of-unte-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,"['Bloodsucking Cracked Tear', 'Oil-Soaked Tear', 'Golden Rune (1)', 'Furnace Visage', 'Smithing Stone (8)', 'Ember of Messmer', 'Revered Spirit Ash', 'Stone-Sheathed Sword', 'Giant Golden Arc', 'Lost Ashes of War']",,,['Furnace Golem'],"Large Ruins shrouded by yellowish mist, in a chasm in Scadu Altus.",1
33,Shadow Keep,http://eldenring.wiki.fextralife.com/file/Monster-Hunter-World/thumbnails/mhws.png,Legacy Dungeons,"['Boltdrake Talisman', 'Pearldrake Talisman', ""Talisman of Lord's Bestowal"", 'Kukri', 'Fire Coil', 'Rune Arc', 'Bone Dart', 'Golden Vow', 'Festive Grease', 'Fireproof Pickled Liver', 'Gold-Pickled Fowl Foot', 'Holyproof Pickled Liver', 'Shadow Realm Rune [5]', 'Shadow Realm Rune [6]', 'Rune of an Unsung Hero', 'Well-Pickled Turtle Neck', 'Silver-Pickled Fowl Foot', 'Furlcalling Finger Remedy', 'Lightningproof Pickled Liver', ""Leda's Rune"", 'Main-gauche', 'Falx', 'Dueling Shield', ""Fire Knight's Seal"", 'Golden Lion Shield', ""Queelign's Greatsword"", 'Carian Thrusting Shield', 'Winged Serpent Helm', 'Hornsent Set', 'Fire Knight Hilde', 'Fire Knight Queelign', 'Ash of War: Flame Spear', 'Ash of War: Wall of Sparks', 'Ash of War: Swift Slash', 'Fire Serpent', 'Wrath from Afar', 'Mantle of Thorns', 'Aspects of the Crucible: Thorns', 'Crab Eggs', 'Beast Horn', 'Rada Fruit', 'Black Pyrefly', 'Lump of Flesh', 'Spirit Calculus', 'Furnace Visage', 'Glintslab Firefly', 'Slumbering Egg', 'Revered Spirit Ash', 'Hefty Beast Bone', 'Thin Beast Bones', 'Shadow Sunflower', 'Ember of Messmer', 'Stormhawk Feather', 'Scadutree Fragment', 'Messmerfire Grease', 'Strip of White Flesh', 'Blessed Bone Shard', 'Smithing Stone [1]', 'Smithing Stone [2]', 'Smithing Stone [5]', 'Smithing Stone [6]', 'Smithing Stone [7]', 'Smithing Stone [8]', 'Great Grave Glovewort', 'Somber Smithing Stone [5]', 'Somber Smithing Stone [8]', 'Somber Smithing Stone [9]', 'Drawstring Golden Grease', 'Crab Eggs', 'Beast Horn', 'Innard Meat', 'Living Jar Shard', 'Death Mask Helm', 'Smithing Stone [2]', 'Smithing Stone [3]', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Smithing Stone [7]', 'Ember of Messmer', 'Vulgar Militia Saw', 'Strip of White Flesh', 'Raw Meat Dumpling', 'Vulgar Militia Armor', 'Fire Knight Gauntlets', 'Messmer Soldier Helm', 'Messmer Soldier Armor', 'Shadow Realm Rune [1]', ""Fire Knight's Shortsword"", 'Iris of Grace', 'Letter for Freyja', 'Secret Rite Scroll', 'Iris of Occultation', 'Hefty Cracked Pot', ""Messmer's Kindling"", ""Furnace Keeper's Note"", 'Storehouse Cross Message', 'Domain of Dragons Painting', 'Remembrance of the Impaler', ""Battlefield Priest's Cookbook [1]"", ""Battlefield Priest's Cookbook [4]""]","['Ansbach', 'Spirit NPC', 'Redmane Freyja', 'Fire Knight Queelign (NPC)']","['Crab', 'Giant Bat', 'Living Jar', 'Giant Crab', 'Fire Knight', 'Black Knight', 'Shadow Militia', 'Messmer Soldier', 'Putrid Corpse', 'Messmer Foot Soldier', 'Fire Knight Captain Kood', 'Lesser Ulcerated Tree Spirit', 'Hornsent', 'Shadow Militiamen']",['Golden Hippopotamus'],,1
34,Village of Flies,http://eldenring.wiki.fextralife.com/file/Elden-Ring/village-of-flies-shadow-of-the-erdtree-location-elden-ring-wiki-guide-min.jpg,Scadu Altus,"['Broken Rune', 'Shadow Realm Rune (4)', 'Golden Horn Tender', 'Silver Horn Tender', 'Revered Spirit Ash', 'Man-Fly Ashes']",,['Man-Fly'],,"Hideen in a small valley underneath Bonny Village, in Recluses' River downstream region, the Man-Fly gather in a make-do village",1
35,Whipping Hut,http://eldenring.wiki.fextralife.com/file/Elden-Ring/whipping-hut-sote-location-elden-ring-wiki-guide-300px.jpg,Scadu Altus,['Tooth Whip'],['Spirit NPC'],,,"A lone ruined Hut, found east of Bonny Village.",1
36,Scorpion River Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/scorpion-river-catacombs-sote-location-elden-ring-wiki-guide-300px.jpg,Rauh Base,"['Grave Glovewort (3)', 'Grave Glovewort (4)', 'Ghost Glovewort (5)', 'Ghost Glovewort (6)', 'Ghost Glovewort (8)', 'Rejuvenating Boluses', 'Great Ghost Glovewort', 'Broken Rune', 'Shadow Realm Rune (4)', 'Redflesh Mushroom', 'Yellow Fulgurbloom', 'Imp Head (Lion)', 'Lizard Greatsword', ""Knight's Lightning Spear"", ""Death Knight's Longhaft Axe"", 'Cerulean Amber Medallion +3', 'Forked-Tongue Hatchet', 'Black Knight Captain Huw', ""Ancient Dragon Knight's Cookbook (2)""]",,"['Basilisk', 'Fanged Imp', 'Black Knight', 'Messmer Soldier', 'Bigmouth Imp', 'Putrescence Sorcerer']",['Death Knight'],Large underground catacombs infested with foes.,1
37,Taylew's Ruined Forge,http://eldenring.wiki.fextralife.com/file/Elden-Ring/taylews-ruined-forge-sote-location-elden-ring-wiki-guide-300px.jpg,Rauh Base,"['Ancient Dragon Smithing Stone', 'Shadow Realm Rune (3)', 'Smithing Stone [4]', 'Smithing Stone [8]', 'Somber Smithing Stone [3]', 'Somber Smithing Stone [8]', 'Smithscript Axe', 'Smithscript Greathammer', 'Smithscript Shield', 'Taylew the Golem Smith']",,"['Living Magma', 'Golem Smith']",,A dungeon located underneath Shadow Keep.,1
38,Temple Town Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/temple-town-ruins-sote-location-elden-ring-wiki-guide-300px.jpg,Rauh Base,"['Rauh Burrow', 'Grave Glovewort (8)', 'Somber Smithing Stone (3)', 'Scadutree Fragment', 'Furlcalling Finger Remedy', 'Silver Horn Tender', 'Golden Rune (1)', 'Rada Fruit', 'Spiritgrave Stone', 'Beast Blood', 'Rauh Burrow', 'Two-Handed Sword Talisman', 'Divine Bird Warrior Ornis', 'Revered Spirit Ash']",,"['Shadowpot', 'Horned Warrior', 'Hippopotamus']",,The half-sunken ruin of a once beautiful town.,1
39,Finger-Weaver's Hovel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger-weavers-hovel-sote-location-elden-ring-wiki-guide-300px.jpg,Cerulean Coast,"[""Finger-Weaver's Cookbook (1)""]",['Spirit NPC'],['Bear'],,A ruined shack found in the southern shore region.,1
40,Southern Nameless Mausoleum,http://eldenring.wiki.fextralife.com/file/Elden-Ring/southern-nameless-mausoleum-sote-location-elden-ring-wiki-guide-300px.jpg,Cerulean Coast,"['Rada Fruit', 'Crab Eggs', 'Strip of White Flesh', 'Dancing Blade of Ranah', ""Dancer's Set"", ""Dancer's Hood"", ""Dancer's Dress"", ""Dancer's Bracer"", ""Dancer's Trousers""]",,,,A small Mausoleum on an island in the Southern Shores.,1
41,Stone Coffin Fissure,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stone-coffin-fissure-sote-location-elden-ring-wiki-guide-300px.jpg,Cerulean Coast,"['Shadow Realm Rune (3)', ""St. Trina's Arrow"", 'Scadutree Fragment', ""St. Trina Disciple's Cookbook (3)"", 'Congealed Putrescence', 'Deep-Purple Lily', 'Grave Glovewort (2)', 'Grave Glovewort (3)', 'Grave Glovewort (7)', 'Grave Glovewort (8)', 'Nectarblood Burgeon', 'Smithing Stone (6)', 'Rada Fruit', ""St. Trina's Smile"", ""St. Trina's Blossom"", 'Velvet Sword of St. Trina', 'Multilayered Ring of Light', 'Mass of Putrescence', 'Remembrance of Putrescence']","['St. Trina', 'Thiollier', 'Spirit NPC']",['Bloodfiend'],['Putrescent Knight'],Ruins in a giant deep underground cave in the southern shore region.,1
