id,name,effect,weight,value,description,dlc,image
15,Stalwart Horn Charm +2 Variant,Effect Raises Robustness by 180,0.6,???,"An accoutrement worn by the ancestral followers. Raises robustness. (Robustness governs resistance to blood loss and frost.) Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/stalwart_horn_charm_talisman_elden_ring_wiki_guide_200px.png
16,Immunizing Horn Charm,Effect Raises Immunity by 90,0.6,500,"An accoutrement worn by the ancestral followers.Raises immunity.(Immunity governs resistance to poison and rot.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers , over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/immunizing_horn_charm_talisman_elden_ring_wiki_guide_200px.png
17,Immunizing Horn Charm +1 Variant,Effect Raises Immunity by 140,0.6,1000,"An accoutrement worn by the ancestral followers.Raises immunity.(Immunity governs resistance to poison and rot.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers , over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/immunizing_horn_charm_talisman_elden_ring_wiki_guide_200px.png
18,Immunizing Horn Charm +2 Variant,Effect Raises Immunity by 180,0.6,2000,"An accoutrement worn by the ancestral followers.Raises immunity.(Immunity governs resistance to poison and rot.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers , over and over again, until the beast one day becomes an ancestral spirit.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/immunizing_horn_charm_talisman_elden_ring_wiki_guide_200px.png
19,Clarifying Horn Charm,Effect Raises Focus by 90,0.6,500,"An accoutrement worn by the ancestral followers.Raises focus.(Focus governs resistance to sleep and madness.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/clarifying_horn_charm_talisman_elden_ring_wiki_guide_200px.png
20,Clarifying Horn Charm +1 Variant,Effect Raises Focus by 140,0.6,1000,"An accoutrement worn by the ancestral followers.Raises focus.(Focus governs resistance to sleep and madness.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/clarifying_horn_charm_talisman_elden_ring_wiki_guide_200px.png
21,Clarifying Horn Charm +2 Variant,Effect Raises Focus by 180,0.6,???,"An accoutrement worn by the ancestral followers.Raises focus.(Focus governs resistance to sleep and madness.) Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/clarifying_horn_charm_talisman_elden_ring_wiki_guide_200px.png
22,Mottled Necklace,"Effect Raises Immunity, Robustness, and Focus by 40",0.9,1000,"A vividly-colored accoutrement precious to the ancestral followers. Raises immunity, robustness, and focus. Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/mottled_necklace_talisman_elden_ring_wiki_guide_200px.png
23,Mottled Necklace +1 Variant,"Effect Raises Immunity, Robustness, and Focus by 60",0.9,2000,"A vividly-colored accoutrement precious to the ancestral followers. Raises immunity, robustness, and focus. Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/mottled_necklace_talisman_elden_ring_wiki_guide_200px.png
24,Mottled Necklace +2 Variant,"Effect Raises Immunity, Robustness, and Focus by 100",0.9,2000,"A vividly-colored accoutrement precious to the ancestral followers. Raises immunity, robustness, and focus. Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/mottled_necklace_talisman_elden_ring_wiki_guide_200px.png
25,Spelldrake Talisman,Effect Reduces Magic Damage taken by 13%,0.6,100,"Talisman depicting a blue ancient dragon.Boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/spelldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
26,Spelldrake Talisman +1 Variant,Effect Reduces Magic Damage taken by 17%,0.6,500,"Talisman depicting a blue ancient dragon.Boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/spelldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
27,Spelldrake Talisman +2 Variant,Effect Reduces Magic Damage taken by 20%,0.6,1000,"Talisman depicting a blue ancient dragon.Boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/spelldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
28,Spelldrake Talisman +3 Variant,Effect Reduces Magic Damage taken by 22%,0.6,???,"Talisman depicting a blue ancient dragon.Boosts magic damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/spelldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
29,Flamedrake Talisman,Effect Reduces Fire Damage taken by 13%,0.6,100,"Talisman depicting a red ancient dragon.Boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/flamedrake_talisman_talisman_elden_ring_wiki_guide_200px.png
30,Flamedrake Talisman +1 Variant,Effect Reduces Fire Damage taken by 17%,0.6,500,"Talisman depicting a red ancient dragon.Boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/flamedrake_talisman_talisman_elden_ring_wiki_guide_200px.png
31,Flamedrake Talisman +2 Variant,Effect Reduces Fire Damage taken by 20%,0.6,1000,"Talisman depicting a red ancient dragon.Boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/flamedrake_talisman_talisman_elden_ring_wiki_guide_200px.png
32,Flamedrake Talisman +3 Variant,Effect Reduces Fire Damage taken by 22%,0.6,???,"Talisman depicting a red ancient dragon.Boosts fire damage negation. The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/flamedrake_talisman_talisman_elden_ring_wiki_guide_200px.png
33,Boltdrake Talisman,Effect Reduces Lightning Damage taken by 13%,0.6,100,"Talisman depicting a yellow ancient dragon.Boosts lightning damage negation. The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/boltdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
34,Boltdrake Talisman +1 Variant,Effect Reduces Lightning Damage taken by 17%,0.6,500,"Talisman depicting a yellow ancient dragon.Boosts lightning damage negation. The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/boltdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
35,Boltdrake Talisman +2 Variant,Effect Reduces Lightning Damage taken by 20%,0.6,1000,"Talisman depicting a yellow ancient dragon.Boosts lightning damage negation. The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/boltdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
36,Boltdrake Talisman +3 Variant,Effect Reduces Lightning Damage taken by 22%,0.6,???,"Talisman depicting a yellow ancient dragon.Boosts lightning damage negation. The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/boltdrake_talisman_talisman_elden_ring_wiki_guide_200px.png
37,Golden Braid,Effect Boosts holy damage negation by 22%,0.3,2000,"A braid of golden hair, cut loose. Queen Marika's offering to the Grandmother. Boosts holy damage negation by the utmost. What was her prayer? Her wish, her confession? There is no one left to answer, and Marika never returned home again.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/golden_braid_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
38,Pearldrake Talisman,Effect Reduces Elemental Damage taken by 5%,0.9,100,"Talisman depicting a pearlescent ancient dragon.Boosts non-physical damage negation. The ancient dragons who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/pearldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
39,Pearldrake Talisman +1 Variant,Effect Reduces Elemental Damage taken by 7%,0.9,500,"Talisman depicting a pearlescent ancient dragon.Boosts non-physical damage negation. The ancient dragons who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/pearldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
40,Pearldrake Talisman +2 Variant,Effect Reduces Elemental Damage taken by 9%,0.9,1000,"Talisman depicting a pearlescent ancient dragon.Boosts non-physical damage negation. The ancient dragons who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/pearldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
41,Pearldrake Talisman +3 Variant,Effect Reduces Elemental Damage taken by 11%,0.9,00,"Talisman depicting a pearlescent ancient dragon.Boosts non-physical damage negation. The ancient dragons who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/pearldrake_talisman_talisman_elden_ring_wiki_guide_200px.png
42,Crimson Seed Talisman,Effect Boosts HP restoration from the Flask of Crimson Tears by 20%,0.8,1000,"A crimson-colored talisman patterned after an Erdtree seed.Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_seed_talisman_talisman_elden_ring_wiki_guide_200px.png
43,Crimson Seed Talisman +1 Variant,Effect Boosts HP restoration from the Flask of Crimson Tears by 30%,0.8,???,"A crimson-colored talisman patterned after an Erdtree seed.Boosts HP restoration from the Flask of Crimson Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crimson_seed_talisman_talisman_elden_ring_wiki_guide_200px.png
44,Cerulean Seed Talisman,Effect Boosts FP restoration from Flask of Cerulean Tears by 20%,0.8,1000,"A cerulean-colored talisman patterned after an Erdtree seed.Boosts FP restoration from the Flask of Cerulean Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",0,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_seed_talisman_talisman_elden_ring_wiki_guide_200px.png
45,Cerulean Seed Talisman +1 Variant,Effect Boosts FP restoration from Flask of Cerulean Tears by 30%,0.8,???,"A cerulean-colored talisman patterned after an Erdtree seed.Boosts FP restoration from the Flask of Cerulean Tears. The Erdtree was once perfect and eternal, and thus was it believed that Erdtree seeds could not exist.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/cerulean_seed_talisman_talisman_elden_ring_wiki_guide_200px.png
46,Blessed Blue Dew Talisman,Effect Slowly restores FP,0.3,1000,"Talisman depicting the blessed boon that is a droplet of the blue, luminescent sap of the Erdtree. Gradually restores FP. It was once thought that the blessed sap of the Erdtree would drip from its boughs forever—but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/blessed_blue_dew_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
47,Fine Crucible Feather Talisman,Effect Improves backsteps but increases damage taken,0.3,???,"A talisman fashioned from thin feathers that embody the aspects of various creatures. Said to have grown on the human body long ago. Improves backsteps but increases damage taken at all times. Hornsent view the Crucible as sacred for the refinement wrought through its evolutionary gifts. Most prominently, their tangled horns.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/fine_crucible_feather_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
48,Outer God Heirloom,Effect Raises arcane,0.3,???,"A talisman engraved with the lore of an outer god. Raises arcane. The clan, who lost everything in the great fires, peered upon the corpse of their ancestor, normally an act of sanctity, and saw in its shadow a twisted deity. The clan had suffered such torment that the horrible thing was taken as an object of worship.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/outer_god_heirloom_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
49,Shattered Stone Talisman,Effect Raises potency of kicking and stomping skills,0.3,500,"Shattered linchpin stone. Raises potency of kicking and stomping skills. Linchpin stones are spiritual anchors said to hold the ground in place and quell the fury of earthquakes—when this one shattered, the surrounding town fell into the broken earth. One account claimed that the moon itself had come tumbling down.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/shattered_stone_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
50,Two-Handed Sword Talisman,Effect Enhances attacks with two-handed weapons,1.2,500,"A talisman depicting a warrior two-handing a sword. Enhances attacks with two-handed weapons. The horned warriors were fitting figureheads for the military might of the tower they kept watch over, their deft attacks slashing through any and all foes.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/two-handed_sword_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
51,Crusade Insignia,Effect Raises attack power by 15% for 20 seconds after defeating an enemy,0.3,???,"A talisman depicting a raised spear on a backdrop of flames, in remembrance of the lives lost in the sacred crusade led by Messmer. Raises attack power after defeating an enemy. The warriors who fought in the crusade set aside both honor and mercy to wantonly impale and scorch those deemed impure. Those who felt invigorated by each cry of death were the same men who were certain of the sanctity of the campaign.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/crusade_insignia_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
52,Aged One's Exultation,Effect Madness in the vicinity increases attack power,0.3,???,"A talisman depicting the exultation of the aging untouchable, whose head resembles a sprig of ripe grapes. Raises attack power when madness is triggered in the vicinity. ""Gift your madness to our Lord. Bless our brethren with grapes. Take care that they fully ripen.""",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/aged_ones_exultation_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
53,Arrow's Soaring Sting Talisman,Effect Increases the effective range of bows and raises attack power of arrows and bolts,0.3,???,A talisman composed of fletched and iron arrows. Increases the effective range of bows and raises attack power of arrows and bolts.,1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/arrows_soaring_sting_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
54,Pearl Shield Talisman,Reduces Elemental Damage taken by 20% while guarding,0.9,???,"Talisman depicting a knight bearing a pearlescent greatshield. Boosts all non-physical damage negation while guarding. The nature and the potential of impurity surpassed the understanding of the knights, and so they were forced to prepare for all threats known or unknown.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/pearl_shield_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
55,Dried Bouquet,Effect Raises attack power by 20% for 30 seconds when summoned spirit dies,0.3,???,"A quaint bouquet of dried flowers, offered to a small grave. Raises attack power when a spirit you have summoned dies. The sorrow that flows from the untimely demise of a loved one is a tenderness shared by all, regardless of birthplace.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/dried_bouquet_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
56,Smithing Talisman,Effect Enhances weapon-throwing attacks by 10%,0.3,500,"A talisman depicting an ancient smithing hammer. Inscribed with a smithscript. Enhances weapon-throwing attacks. In ancient times, smithing was a divine act, and blacksmiths interpreted the script they perceived in the wrinkles of molten steel to imbue weapons with souls.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/smithing_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
57,Ailment Talisman,Effect Raises resistance to the last ailment suffered,0.3,???,"A talisman depicting a soul taken by sickness. When certain ailments are triggered, this talisman grants resistance to the same ailment. When the weak were infected with the dreaded fly sickness, they perished well before the metamorphosis could take hold. Oddly, those who cared for the infected and made certain they were given a proper burial were never afflicted themselves.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/ailment_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
58,Retaliatory Crossed-Tree,Effect Enhances attacks executed after rolling or backstepping by 17%,0.3,???,"Handicraft depicting a golden crossed-tree. One of the items conferred to the Needle Knights. Enhances attacks executed after rolling or backstepping. Long ago, the Needle Knights were in service of Miquella, but now they are no more. Save for one.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/retaliatory_crossed-tree_1_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
59,Lacerating Crossed-Tree,Effect Enhances dash attacks,0.3,???,"Handicraft depicting a golden crossed-tree. One of the items conferred to the Needle Knights. Enhances dash attacks. Long ago, the Needle Knights were in service of Miquella, but now they are no more. Save for one.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/lacerating_crossed-tree_1_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
60,Sharpshot Talisman,Effect Boosts attack power of precision-aimed shots by 12%,0.3,500,"A talisman depicting an archer wielding a longbow. Boosts attack power of precision-aimed shots. The Albinauric archers were in a class of their own, and their deadly long-range specialists struck fear into the hearts of men.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/sharpshot_talisman_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
61,St. Trina's Smile,Effect Sleep in the vicinity increases attack power,0.9,???,"A talisman depicting a smiling St. Trina, a vision conjured deep within a certain man's heart. Raises attack power when sleep is triggered in the vicinity. ""Only I am allowed to know. Of your velvety sleep. Its sweetly gentle embrace. So please, smile—for me, and only me.""",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/st._trinas_smile_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
62,Talisman of the Dread,Effect Raises potency of magma,0.3,???,"Talisman depicting the dread dragon of the jagged peak, whose roars cause the peak's molten fury to boil and churn. Raises potency of magma. Bayle was the foul dragon's name—a terrible harbinger of destruction whose challenge to the ancient Dragonlord ended in grievous mutual injury.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/talisman_of_the_dread_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
63,Enraged Divine Beast,Effect Raises potency of storms by 10%,0.3,500,"A charm depicting the crazed, cavorting dance of the divine beast conducted at the tower festival. Raises potency of storms. Divine beasts are messengers of the heavens, and their rage mirrors the tumult of the skies, of which storms are the pinnacle.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/enraged_divine_beast_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
64,Beloved Stardust,"Effect Shortens casting speed for sorcery and incantations by the utmost, but increases damage taken",1.3,2000,"A talisman depicting a wizened hand gently gripping a glintstone. Shortens casting speed for sorcery and incantations by the utmost, but increases damage taken. Count Ymir was known for his recitations. ""One need only envision the romance of the stars above with adoration for stardust in one's heart to become a great sorcerer. Do so, and you will know love.""",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/beloved_stardust_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
65,Talisman of Lord's Bestowal,Effect Increases poise after using a flask of tears,3.0,???,"A talisman depicting Godfrey, first Elden lord, receiving the precious sap. Increases poise after using a flask of tears. The Lord accepted the sap stoically, without any sign of wavering. No wonder Lord of the Erdtree casts a long shadow over the lands.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/talisman_of_lords_bestowal_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
66,Verdigris Discus,Effect Raises defense with higher equipment load,4.5,???,"A discus made of verdigris, the corroded metal known for its heft. Raises defense with higher equipment load. Great weight makes for great strength. The strength to protect others.",1,https://eldenring.wiki.fextralife.com//file/Elden-Ring/verdigris_discus_talisman_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png
