id,name,image,description,effect,FP,slot,INT,FAI,ARC,stamina cost,bonus,location,dlc
10,Vortex of Putrescence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/vortex_of_putrescence_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide.png,"Sorcery used by the Putrescent Knight. Launches a whirl of putrescent jets that explode shortly after impact and bathe the area in ghostflame. In an age long past, Death was burned by ghostflame. Even the remains of tainted flesh were given equal treatment in death.",Launches a whirl of putrescent jets,29,2,32,26,0,45,Death,Can be selected as one of the possible rewards when trading Remembrance of Putrescence with Enia at the Roundtable Hold.,1
11,Mass of Putrescence,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mass_of_putrescence.png,"Sorcery originating from the putrid liquor of the stone coffins. Flings a great mass of putrescence that explodes shortly after impact, raining ghostflame upon the area. In an age long past, Death was burned by ghostflame. Even the remains of tainted flesh were given equal treatment in death. lob it to the side of them",Flings a great mass of putrescence,41,1,28,22,0,42,Death,"Stone Coffin Fissure: from the Fissure Waypoint grace, jump the small gap and drop down the ledge to the left. Located behind some small stalagmites.",1
12,Fleeting Microcosm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fleeting_microcosm_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A finger sorcery of Count Ymir, High Priest. One of the secret hallowed rites. Conjures an image of a microcosm at a foe's feet that pulses with a single wave before disappearing in a burst. Charging enhances potency. The broken and discarded are fully willing to cling to fleeting simulacra, earning them some modicum of sympathy.","Conjures a microcosm that pulses with a single wave, disappearing in a burst",26,1,42,0,0,35,Finger,Cathedral of Manus Metyr: Available for purchase from Count Ymir after sounding the second finger bell.,1
13,Cherishing Fingers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cherishing_fingers_sorceries_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A finger sorcery of Count Ymir, aspiring mother of fingers. Surrounds the caster with a mesh of hefty fingers that wards all manner of projectiles, whether magical or physical in nature, away from the caster. Charging enhances potency. The dear fingers look after their mother, or perhaps that is merely what the mother wishes to believe.",Surrounds the caster with a mesh of hefty fingers,20,1,36,0,0,20,Finger,Cathedral of Manus Metyr: Located in the nearby graveyard after completing Count Ymir's questline,1
14,Adula's Moonblade,http://eldenring.wiki.fextralife.com/file/Elden-Ring/adulas_moonblade_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of Adula, the Glintstone Dragon. Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost. This sorcery can be cast repeatedly. Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon. Note:",Sweeping slash followed by cold blade projectile,22,1,32,0,0,22,Cold,Dropped by the Glintstone Dragon Adula located at the Cathedral of Manus Celes.,0
15,Ambush Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ambush_shard_sorcery_elden_ring_wiki_guide_200px.png,"One of the night sorceries of Sellia, Town of Sorcery.Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind.This sorcery can be cast repeatedly.The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Strikes from behind with projectile fired from distance,13,1,23,0,0,15,Night,Weeping Peninsula: Found on a corpse in the underground jail of the Witchbane Ruins.,0
16,Ancient Death Rancor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ancient_death_of_rancor_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the servants of Death. Summons a horde of vengeful spirits that chase down foes. Charging enhances potency. They are cinders of the ancient death hex, raked from the fires of ghostflame by Deathbirds. Notes:",Summons horde of vengeful spirits that chase down foes,21,1,34,24,0,27,Death,"Dropped by the Death Rite Bird in Liurnia of the Lakes, to the east of Raya Lucaria Academy at night, south of the Gate Town North site of grace.",0
17,Briars of Punishment,http://eldenring.wiki.fextralife.com/file/Elden-Ring/briars_of_punishment_sorcery_elden_ring_wiki_guide_200px.png,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of punishment, sending a trail of bloodthorns running over the ground to impale enemies from below. This sorcery can be cast repeatedly. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",Wounds caster to unleash trail of bloodthrorns,9,1,0,21,0,22,Aberrant,Can be found at the leftmost dead tree next to three Lesser Fire Monks just before the long stone bridge with the Golem Archer at the end in the Mountaintops of the Giants region.,0
18,Briars of Sin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/briars_of_sin_sorcery_elden_ring_wiki_guide_200px.png,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, creating a spiral of bloodthorns. This sorcery can be cast repeatedly, up to three times. Note:",Summons thorns from a whorl of own blood,6,1,0,24,0,26,Aberrant,Liurnia of the Lakes: Dropped by a Thorn-Fire Sorcerer directly north-west from the Artist's Shack. Jump across the rocks and they'll be by a group of fire slugs.,0
19,Cannon of Haima,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cannon_of_haima_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.Lobs an explosive magic projectile that flies in an arc.Charging enhances potency.Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict. Note:",Lobs an explosive magic projectile in an arc,38,1,25,0,0,42,Glintstone,Can be found in the chest at the top of the Converted Fringe Tower in the northeast of the Liurnia of the Lakes region[Map Link],0
20,Carian Greatsword,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_greatsword_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries of the Carian royal family.Conjures a magic greatsword and then delivers a sweeping blow.This sorcery can be cast repeatedly.Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon. Note:",Performs sweeping slash using magical greatsword,12,1,24,0,0,22,Carian,"Can be purchased from Miriel, Pastor of Vows at the Church of Vows for 10,000 Runes. Map Link.",0
21,Carian Phalanx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_phalanx_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries of the Carian royal family. Creates a defensive arch of numerous magic glintblades overhead, which automatically attack nearby foes.This sorcery can be used cast while in motion. An enhanced version of the glintblade sorcery used by enchanted knights. NOTE:",Forms a defensive arch of numerous magic glintblades,24,1,34,0,0,16,Carian,"Sold by Preceptor Seluvis at Seluvis's Rise for 12,000 Runes.",0
22,Carian Piercer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_piercer_sorcery_elden_ring_wiki_guide_200px.png,One of the sorceries of the Carian royal family. Conjures a magic greatsword to impale foes.Charging lengthens the initial step in. This sorcery forms a counterpart to Carian Greatsword. Highly lethal when used against single foes riding alone. Note:,Impales foes with magical greatsword,17,1,27,0,0,25,Carian,"Caria Manor: Dropped by a Teardrop Scarab in an area behind the gardens, to the east. [Map Link]",0
23,Carian Retaliation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_retalation_patch_108_img_wiki_guide_300px200px.png,"One of the sorceries of the Carian royal family. Swing your staff to dispel incoming sorceries and incantations, using their power to retaliate with glintblades. This was the Carian royal family's secret means to prepare against the disloyalty of the academy. The moon and stars would one day go their separate ways.",Dispels enemy spells and retaliates with glintblades,8,1,17,0,0,15,Carian,"Can be purchased from Preceptor Seluvis for 9,000 Runes at Seluvis's Rise",0
24,Carian Slicer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_slicer_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries of the Carian royal family. Conjures a magic sword and delivers a swift sweeping slash.This sorcery can be used without delay after performing anotheraction. Even among the Carian sword sorceries, this is a notably effective technique.",Performs swift sweeping slash using magical sword,4,1,14,0,0,12,Carian,"After giving the Royal House Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis, the spell can be purchased for 1,500 Runes.",0
25,Collapsing Stars,http://eldenring.wiki.fextralife.com/file/Elden-Ring/collapsing_stars_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries that manipulates gravitational forces. Fires numerous gravitational projectiles. Any foes struck will be pulled toward the caster. Charging enhances potency. A gravitational technique mastered by the young Radahn. ""I thank you for your tutelage, for now I can challenge the stars.""",Pulls foes toward caster with gravity projectile volley,18,1,36,0,0,27,Gravity,Found in a chest located at the War-Dead Catacombs (Starscourge Radahn arena after defeat),0
26,Comet,http://eldenring.wiki.fextralife.com/file/Elden-Ring/comet_sorcery_elden_ring_wiki_guide_200px.png,Note:,Fires a great magic comet,24,1,52,0,0,31,Glintstone,Found in Raya Lucaria through an Illusory Wall just before the Site of Grace at Debate Parlor.,0
27,Comet Azur,http://eldenring.wiki.fextralife.com/file/Elden-Ring/comet_azur_sorcery_elden_ring_wiki_guide_200px.png,"Legendary sorcery devised by Azur, primeval sorcerer. Fires a tremendous comet in a torrent akin to the distant starry expanse, the place said to be the origin of glintstone.Hold to continue releasing the sorcery's power. When Azur glimpsed into the primeval current, he saw darkness. He was left both bewitched and fearful of the abyss.",Fires a tremendous comet within a starry torrent,40 (10),3,60,0,0,34,Primeval Sorceries,Hermit Village in Mt. Gelmir: Acquired from Primeval Sorcerer Azur sitting near the cliffs in the northeast.,0
28,Crystal Barrage,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_barrage_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a volley of glintstone crystal shards.Charging increases potency. A sorcery of the Crystal Cadre, a group of sorcerers who pursue the wisdom of stone - the secrets locked in the faint cogitation of the Crystalians.",Fires a volley of glintstone crystal shards,14 (2),1,23,0,0,26,Glintstone,"Can be purchased from Sorceress Sellen for 1,500 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
29,Crystal Burst,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_burst_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.Fires a burst of glintstone crystal shards.This sorcery can be cast repeatedly and while in motion. Charging increases potency.A sorcery of the Crystal Cadre, a group of sorcerers who pursued the wisdom of stone - the secrets locked in the faint cogitation of the Crystalians. NOTE:",Fires a burst of glintstone crystal shards,14,1,18,0,0,9,Glintstone,Drops from the Demi-Human Queen mini-boss in the Demi-Human Forest Ruins on the Weeping Peninsula.,0
30,Crystal Release,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_release_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the mysterious Crystalians.Creates a mass of crystal, then shatters it to scour a wide area with a violent rain of crystal shards.This sorcery is used by high-ranking adepts among the Crystalians. Some also call this sorcery ""the Crystal Sun."" Note:",Scours area with violent rain of crystal shards,34,1,41,0,0,26,Crystalian,Dropped by the Crystalians at the Academy Crystal Cave,0
31,Crystal Torrent,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crystal_torrent_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then fires off shards in rapid succession. Hold to continue firing shards. The wrath of the Crystalians encapsulated in sorcery. Each shard is of substantial size, making even a stray blow capable of inflicting a severe wound.",Creates crystal mass that fires stream of crystal shards,20 (5),1,47,0,0,30,Crystalian,Drops from Putrid Crystalians at Sellia Hideaway.,0
32,Eternal Darkness,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eternal_darkness_sorcery_elden_ring_wiki_guide_200px.png,"Forbidden sorcery of Sellia, Town of Sorcery. Creates a space of darkness that draws in sorceries and incantations. This sorcery can be cast while in motion. Originally a lost sorcery of the Eternal City; the despair that brought about its ruin made manifest.",Creates a dark space that draws in spells,25,1,35,0,0,15,Night,Found in the Swamp Lookout Tower near Sellia Gateway.,0
33,Explosive Ghostflame,http://eldenring.wiki.fextralife.com/file/Elden-Ring/explosive_ghostflame_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of the servants of Death. Strike the ground with the staff, triggering an explosion of ghostflame that burns the surrounding area. In the time when there was no Erdtree, death was burned in ghostflame. Deathbirds were the keepers of that fire.",Causes ghostflame explosion that burns wide area,29,1,42,30,0,45,Death,"Drops from a Death Rite Bird that spawns at night, southeast of Apostate Derelict.",0
34,Fia's Mist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fias_mist_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery of Fia, the Deathbed Companion. Creates a deathly mist before the caster, which inflicts Death blight upon those who enter. This sorcery can be cast while in motion. Charging enhances range of the mist. This sorcery was developed to oppose the Roundtable Hold, and is effective only against the Tarnished.",Release a mist of death before caster,25,1,23,18,0,13,Death,"Obtained by defeating Fia's Champions in Deeproot Depths. After unlocking the Across the Roots Grace, head north and defeat the boss.",0
35,Founding Rain of Stars,http://eldenring.wiki.fextralife.com/file/Elden-Ring/founding_rain_of_stars_sorcery_elden_ring_wiki_guide_200px.png,"The eldest primeval sorcery, said to have been discovered by an ancient astrologer. A sorcery of legendary status. Summons a dark cloud of stars overhead. Shortly after, the cloud will release a violent deluge of star rain. This sorcery can be cast while in motion. Charging increases potency. Thought to be the founding glintstone sorcery. The glimpse of the primeval current that the astrologer saw became real, and the stars' amber rained down on this land.",Releases a downpour of star rain for a while,27,2,52,0,0,31,Primeval Sorceries,"Inside a chest within Heretical Rise, in Mountaintops of the Giants.",0
36,Freezing Mist,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freezing_mist_sorcery_elden_ring_wiki_guide_200px.png,Sorcery said to have been used by the old snow witch. Releases a cold mist before the caster.This sorcery can be cast while in motion. Charging enhances range of the mist. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:,Releases cold mist before caster,20,1,21,0,0,13,Cold,"Purchased from Preceptor Seluvis in Seluvis's Rise for 6,000 Runes.",0
37,Frozen Armament,http://eldenring.wiki.fextralife.com/file/Elden-Ring/frozen_armament_sorcery_elden_ring_wiki_guide_200px.png,Sorcery said to have been used by the old snow witch.Enchants armament held in the right hand with frost.This sorcery can be cast while in motion.The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:,Enchants right-hand armament with frost,20,1,15,0,0,10,Cold,Dropped by a Teardrop Scarab in an area behind Caria Manor. This location is accessible only after completing the manor and defeating Royal Knight Loretta.,0
38,Gavel of Haima,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gavel_of_haima_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.Creates a magical greathammer and slams it down.Allows one follow-up attack.Drawn from the scholarly conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict. Note:",Attacks using a magic greathammer,22,1,25,0,0,38,Glintstone,Can be found in the chest at the top of the Converted Fringe Tower in the Liurnia of the Lakes region,0
39,Gelmir's Fury,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gelmirs_fury_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries developed from the magma of Mt. Gelmir. Conjures a surge of magma from the earth, covering the area. Charging extends the surge of magma. This sorcery is held to represent the fury of the volcano, but the arrogance of attempting to harness it is solely that of men and serpents. Note:",Covers area with surge of magma from the earth,16 (3),1,28,15,0,38,Magma,Given by Recusant Bernahl at Volcano Manor after completing his contract,0
40,Glintblade Phalanx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintblade_phalanx_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries of the Carian royal family. Creates a defensive arch of magic glintblades overhead, whichautomatically attack nearby foes.This sorcery can be cast while in motion. Bestowed upon the enchanted Carian knights, who combined thisart with their swordsmanship to maintain pressure upon theirfoes, striking in waves of steel and sorcery. NOTE:",Forms a defensive arch of magic glintblades,18,1,22,0,0,12,Carian,"Can be purchased for 2,500 Runes, after giving the Royal House Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
41,Glintstone Arc,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_arc_sorcery_elden_ring_wiki_guide_200px.png,"Fires a horizontal arc of magic that spreads outward.This sorcery can be cast repeteadly and while in motion. Granted to sorcererers who depart from the academy to embark on journeys, in order to fend off large groups of would-be adversaries. Fools often roam in packs. NOTE:",Launches a horizontally-widening magic arc,9,1,13,0,0,18,Glintstone,"Dropped by Teardrop Scarab in the southern portion of the Agheel Lake area in Limgrave, where Giant Crabs dwell. Beware of a Giant Crab ambush!Starting Item for the AstrologerCan be purchased from Sorceress Sellen for 1500 Runes. Sellen is located in Limgrave: Waypoint Ruins Can be purchased from Thops for 1500 Runes. Thops is at the Church of Irith.",0
42,Glintstone Cometshard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_cometshard_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.Fires a magical comet with a trailing tail.This sorcery can be cast repeatedly and while in motion. Charging enhances potency.A sorcery of the Karolos Conspectus, the most venerable of the academy.",Fires a magic comet with a trailing tail,17,1,36,0,0,28,Glintstone,"Can be purchased for 12,000 Runes after you deliver the Conspectus Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
43,Glintstone Icecrag,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_icecrag_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery said to have been used by the old snow witch. The glintstone serves as a conduit, launching a mass of cold magic. This sorcery can be cast repeatedly and while in motion. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery. NOTE:",Fires mass of cold magic from glintstone,12,1,15,0,0,26,Cold,"Purchased from Preceptor Seluvis in Seluvis's Rise for 7,500 Runes.",0
44,Glintstone Pebble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_pebble_sorcery_elden_ring_wiki_guide_200px.png,"The most basic glintstone sorcery of the Academy of Raya Lucaria. The glintstone serves as a conduit, launching magical projectiles at foes.This sorcery can be cast repeatedly and while in motion. This is a universal first step on the journey to true knowledge of sorcery. NOTE: This was changed with Patch 1.07 as follows: The Attack Power was increased.",Fires magic projectiles from glintstone,7,1,10,0,0,20,Glintstone,"Starting Spell for the AstrologerCan be purchased from Sorceress Sellen for 1,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
45,Glintstone Stars,http://eldenring.wiki.fextralife.com/file/Elden-Ring/glintstone_stars_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires three magic shooting stars that pursue the target.This sorcery can be cast while in motion. Charging enhancespotency. A sorcery of the Olivinus Conspectus, which attracts sorcerers from Sellia, Town of Sorcery. NOTE:",Fires guided magic shooting stars,12,1,12,0,0,21,Glintstone,"Can be purchased from Sorceress Sellen for 3,000 Runes. Sellen is located in Limgrave: Waypoint Ruins",0
46,Gravity Well,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravity_well_sorcery_elden_ring_wiki_guide_200px.png,One of the glintstone sorceries that manipulates gravitational forces.Fires a projectile of condensed gravitational force. Those struck by it will be pulled toward the caster.Charging enhances potency.A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone.,Pulls foes toward caster with gravity projectile,12,1,17,0,0,20,Gravity,Location: Raya Lucaria AcademyNearest Site of Grace: Church of the Cuckoo or Schoolhouse ClassroomDropped by the Monolith Guardian enemy that appears from a gravity portal. The section is near the graveyard and the large rotating lift of Raya Lucaria Academy.,0
47,Great Glintstone Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_glintstone_shard_sorcery_elden_ring_wiki_guide_200px.png,"One of the glintstone sorceries of the Academy of Raya Lucaria.The glintstone serves as a conduit, launching large magical projectiles at foes.This sorcery can be cast repeatedly and while in motion.Those unworthy of the stone crown typically end their brief journey into sorcery here.",Fires larger magic projectiles from glintstone,12,1,16,0,0,26,Glintstone,"Can be purchased for 2,000 Runes after you deliver the Academy Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
48,Great Oracular Bubble,http://eldenring.wiki.fextralife.com/file/Elden-Ring/great_oracular_bubble_sorcery_elden_ring_wiki_guide_200px.png,Sorcery of the claymen who served as priests in the ancient dynasty. Produces a gigantic magical bubble that drifts towards foes before it naturally ruptures. Charging increases the delay before the bubble pops. The claymen search for lost oracles within their bubbles. Note:,Launches a large magic bubble,16,1,25,0,18,27,Claymen Sorceries,Obtained by defeating the Teardrop Scarab found inside the large stone ruin at the highest level of the Siofra River. Map Link,0
49,Greatblade Phalanx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/greatblade_phalanx_sorcery_elden_ring_wiki_guide_200px.png,"One of the sorceries of the Carian royal family.Creates a defensive arch of larger magic glintblades overhead, which automatically attack nearby foes.Used by the enchanted troll knights.They were the comrades of the young Rennala, bound by oath. NOTE:",Forms a defensive arch of larger magic glintblades,30,1,29,0,0,20,Carian,"Cuckoo's Evergaol: Dropped by Bols, Carian Knight upon defeat.",0
50,Loretta's Greatbow,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lorettas_greatbow_sorcery_elden_ring_wiki_guide_200px.png,Sorcery used by Royal Knight Loretta.Creates a magic greatbow and fires a great arrow.Charging enhances potency. Hold to keep the great arrow nocked.It is said that the bow was Loretta's favored weapon. NOTE:,Fires great arrow from a magic greatbow,24,1,26,0,0,30,Loretta's Sorceries,Caria Manor: Dropped by Royal Knight Loretta upon defeat. [Map Link],0
51,Loretta's Mastery,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lorettas_mastery_sorcery_elden_ring_wiki_guide_200px.png,"Sorcery used by Loretta, Knight of the Haligtree. Creates a magic greatbow and fires four great arrows simultaneously. Charging enhances potency. Hold to keep the great arrows nocked. Developed by Loretta after her long, bloody journey to seek out a place where the Albinaurics could live in peace. NOTE:",Fires four great arrow from a magic greatbow at once,39,1,46,0,0,33,Loretta's Sorceries,"Dropped by Loretta, Knight of the Haligtree upon defeat",0
